"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
785.4116P,"2-9/16"" ", $58.18 , $49.45 , $26.18 , $23.56 ,,,78539,,,,,
785.4816P,"3"" ", $90.49 , $76.91 , $40.72 , $36.65 ,,,78540,,,,,
785.5816P,"3-5/8"" ", $103.41 , $87.90 , $46.54 , $41.88 ,,,78541,,,,,
785.7416P,"4-5/8"" ", $168.05 , $142.84 , $75.62 , $68.06 ,,,78542,,,,,
,,,,,,,,,,,,,
PILOT DRILL REPLACEMENTS - FOR USE WITH THE MOLY COATED BITS ONLY,,,,,,,,,,,,,
785A.0316,"3/16""", $7.37 , $6.26 , $3.32 , $2.98 ,,,78508,,,,,
785B.0416,"1/4""", $7.76 , $6.59 , $3.49 , $3.14 ,,,78509,,,,,
785C.0616,"3/8""", $10.20 , $8.67 , $4.59 , $4.13 ,,,78510,,,,,
,,,,,,,,,,,,,
REPLACEMENT SCREW POINTS for Multi Spur Self Feed Bits,,,,,,,,,,,,,
785.RSC.100,"1-3/8""...2-9/16""", $4.12 , $3.50 , $1.86 , $1.67 ,,,78547,,,,,
785.RSC.200,"3""...4-5/8"" bit", $4.12 , $3.50 , $1.86 , $1.67 ,,,78548,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HIGH SPEED STEEL BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG911 LONG BOYS,,,,,,,,,,,,,
"12"" OAL x 9"" Twist Length with 1/2"" shank with 3 flats",,,,,,,,,,,,,
911.0716,"7/16""", $39.41 , $33.50 , $17.74 , $15.96 ,,,91100,,,,,
911.0816,"1/2""", $40.38 , $34.32 , $18.17 , $16.35 ,,,91101,,,,,
911.0916,"9/16""", $55.30 , $47.01 , $24.89 , $22.40 ,,,91102,,,,,
911.1016,"5/8""", $65.20 , $55.42 , $29.34 , $26.41 ,,,91103,,,,,
911.1116,"11/16""", $76.46 , $64.99 , $34.41 , $30.97 ,,,91104,,,,,
911.1216,"3/4""", $99.56 , $84.62 , $44.80 , $40.32 ,,,91105,,,,,
911.1316,"13/16""", $115.16 , $97.89 , $51.82 , $46.64 ,,,91106,,,,,
911.1416,"7/8""", $130.00 , $110.50 , $58.50 , $52.50 ,,,91107,,,,,
911.1516,"15/16""", $145.56 , $123.72 , $65.50 , $58.95 ,,,91108,,,,,
911.1616,"1""", $156.86 , $133.33 , $70.58 , $63.53 ,,,91109,,,,,
911.1716,"1-1/16""", $173.81 , $147.74 , $78.21 , $70.34 ,,,91110,,,,,
911.1816,"1-1/8""", $208.74 , $177.43 , $93.93 , $84.54 ,,,91111,,,,,
911.2016,"1-1/4""", $246.13 , $209.21 , $110.76 , $99.68 ,,,91112,,,,,
,,,,,,,,,,,,,
909 Kits,,,,,,,,,,,,,
909.KIT1,2-pc kit, $239.92 , $203.93 , $107.96 , $97.17 ,,,90921,,,,,
909.KIT2,4-pc kit, $399.41 , $339.50 , $179.74 , $161.76 ,,,90922,,,,,
909.KIT3,3-pc kit, $469.89 , $399.40 , $211.45 , $190.30 ,,,90923,,,,,
,,,,,,,,,,,,,
MAG901 SILVER & DEMING DRILLS,,,,,,,,,,,,,
"5-5/8"" OAL X 4"" Twist Length, 118 deg. Split Point, 1/2"" shank w/ 3 flats",,,,,,,,,,,,,
901.0916,"9/16""", $30.57 , $25.98 , $13.76 , $12.38 ,,,90102,,,,,
901.1016,"5/8""", $32.73 , $27.82 , $14.73 , $13.26 ,,,90104,,,,,
901.1116,"11/16""", $37.18 , $31.60 , $16.73 , $15.06 ,,,90106,,,,,
901.1216,"3/4""", $41.28 , $35.09 , $18.58 , $16.72 ,,,90108,,,,,
901.1316,"13/16""", $46.59 , $39.60 , $20.97 , $18.87 ,,,90110,,,,,
901.1416,"7/8""", $50.42 , $42.86 , $22.69 , $20.42 ,,,90112,,,,,
901.1516,"15/16""", $56.33 , $47.88 , $25.35 , $22.81 ,,,90114,,,,,
901.1616,"1""", $67.74 , $57.58 , $30.48 , $27.43 ,,,90116,,,,,
901.1716,"1-1/16""", $90.90 , $77.27 , $40.91 , $36.81 ,,,90117,,,,,
901.1816,"1-1/8""", $98.02 , $83.32 , $44.11 , $39.70 ,,,90118,,,,,
901.1916,"1-3/16""", $107.13 , $91.06 , $48.21 , $43.39 ,,,90119,,,,,
901.2016,"1-1/4""", $116.25 , $98.81 , $52.31 , $47.08 ,,,90120,,,,,
,,,,,,,,,,,,,
909 Shark-Bits,,,,,,,,,,,,,
"9"" OAL x 6"" twist  length with 1/2"" shank",,,,,,,,,,,,,
909.0916,"9/16"" ", $61.00 , $51.85 , $27.45 , $24.71 ,,,90902,,,,,
909.1116,"11/16""", $81.30 , $69.11 , $36.59 , $32.93 ,,,90903,,,,,
909.1316,"13/16""", $98.48 , $83.71 , $44.32 , $39.88 ,,,90904,,,,,
,,,,,,,,,,,,,
909 Countershark,,,,,,,,,,,,,
909.2416,"1-1/2""", $136.10 , $115.69 , $61.25 , $55.12 ,,,90910,,,,,
909.3616,"2-1/4""", $137.61 , $116.97 , $61.92 , $55.73 ,,,90911,,,,,
909.5216,"3-1/4""", $182.88 , $155.45 , $82.30 , $74.07 ,,,90912,,,,,
,,,,,,,,,,,,,
MAG851 HSS STEP DRILLS,,,,,,,,,,,,,
851.0500A," 1/4"" QC SHANK-13S, 1/8"" - 1/2"" ", $34.98 , $29.73 , $15.74 , $14.17 ,,,85101,,,,,
851.0500B," 1/4"" QC SHANK-6S, 3/16"" - 1/2"" ", $48.90 , $41.56 , $22.00 , $19.80 ,,,85102,,,,,
851.0750QC," 1/4"" QC SHANK-9S, 1/4"" - 3/4"" ", $65.34 , $55.54 , $29.40 , $26.46 ,,,85113,,,,,
851.0875QC," 1/4"" QC SHANK-12S, 3/16"" - 7/8"" ", $73.13 , $62.16 , $32.91 , $29.62 ,,,85104,,52.84,,,
851.0750B," 3/8"" SHANK-3S, 3/8"", 7/16"",3/4"" ", $85.15 , $72.37 , $38.32 , $34.48 ,,,85107,,,,,
851.1000," 3/8"" SHANK-12S, 5/8"" -1"" ", $90.42 , $76.85 , $40.69 , $36.62 ,,,85111,,,,,
851.1125," 3/8"" SHANK-12S, 7/16"" -1-1/8"" ", $104.08 , $88.47 , $46.83 , $42.15 ,,,85105,,79.62,67.44,,
851.1125B," 3/8"" SHANK-2S, 7/8"", 1-1/8"" ", $101.59 , $86.35 , $45.71 , $41.14 ,,,85108,,,,,
851.1375B," 3/8"" SHANK-10S, 1/4"" -1-3/8"" ", $122.06 , $103.75 , $54.93 , $49.43 ,,,85109,,,,,
851.1375R," 3/8"" SHANK-10S, 13/16"" -1-3/8"" ", $136.42 , $115.96 , $61.39 , $55.25 ,,,85112,,,,,
851.1375A," 3/8"" SHANK-5S, 7/8"" -1-3/8"" ", $136.74 , $116.23 , $61.53 , $55.38 ,,,85120,,,,,
851.1375," 3/8"" SHANK-12S, 7/16"" -1-1/8"" ", $138.70 , $117.89 , $62.41 , $56.17 ,,,85106,,,,,
851.1500," 3/8"" SHANK-11S, 1/4"" -1-1/2"" ", $212.76 , $180.84 , $95.74 , $86.17 ,,,85110,,,,,
,,,,,,,,,,,,,
851.KIT1, Electrician's , $247.45 , $210.34 , $111.35 , $100.22 ,,,85116,,,,,
,,,,,,,,,,,,,
MAG861 SIDEWINDER BITS,,,,,,,,,,,,,
861-0500A," 1/4"" QC SHANK-13S, 1/8"" - 1/2"" ", $35.98 , $30.58 , $16.19 , $14.57 ,,,86131,,,,,
861-0500B," 1/4"" QC SHANK-6S, 3/16"" - 1/2"" ", $50.29 , $42.75 , $22.63 , $20.37 ,,,86132,,,,,
861-0750QC," 1/4"" QC SHANK-9S, 1/4"" - 3/4"" ", $67.20 , $57.12 , $30.24 , $27.22 ,,,86143,,,,,
861-0875QC," 1/4"" QC SHANK-12S, 3/16"" - 7/8"" ", $75.22 , $63.93 , $33.85 , $30.46 ,,,86134,,,,,
861-0750B," 3/8"" SHANK-3S, 3/8"", 7/16"",3/4"" ", $87.58 , $74.44 , $39.41 , $35.47 ,,,86137,,,,,
861-1000," 3/8"" SHANK-12S, 5/8"" -1"" ", $93.00 , $79.05 , $41.85 , $37.66 ,,,86141,,,,,
861-1125B," 3/8"" SHANK-2S, 7/8"", 1-1/8"" ", $104.49 , $88.82 , $47.02 , $42.32 ,,,86138,,,,,
861-1125," 3/8"" SHANK-12S, 7/16"" -1-1/8"" ", $107.05 , $90.99 , $48.17 , $43.36 ,,,86135,,,,,
861-1375B," 3/8"" SHANK-10S, 1/4"" -1-3/8"" ", $125.55 , $106.71 , $56.50 , $50.85 ,,,86139,,,,,
861-1375," 3/8"" SHANK-12S, 7/16"" -1-1/8"" ", $142.66 , $121.26 , $64.20 , $57.78 ,,,86136,,,,,
861-1500," 3/8"" SHANK-11S, 1/4"" -1-1/2"" ", $218.83 , $186.01 , $98.48 , $88.63 ,,,86140,,,,,
,,,,,,,,,,,,,
MAG786 BELL HANGER DRILLS - 82 DEGREE TIP,,,,,,,,,,,,,
786.12.0416," 1/4""x12"" ", $16.60 , $14.11 , $7.47 , $6.72 , $5.97 ,120,78601,,,,,
786.12.0516," 5/16""x12"" ", $18.28 , $15.53 , $8.22 , $7.40 , $6.00 ,120,78602,,,,,
786.12.0616," 3/8""x12"" ", $18.34 , $15.59 , $8.25 , $7.43 , $6.60 ,120,78603,,,,,
786.12.0716," 7/16""x12"" ", $19.68 , $16.73 , $8.86 , $7.97 , $7.08 ,120,78615,,,,,
786.12.0816," 1/2""x12"" ", $20.93 , $17.79 , $9.42 , $8.48 , $7.53 ,120,78616,,,,,
786.12.0916," 9/16""x12"" ", $23.70 , $20.15 , $10.67 , $9.60 , $8.53 ,120,78617,,,,,
786.12.1016," 5/8""x12"" ", $26.26 , $22.32 , $11.82 , $10.63 , $9.45 ,48,78618,,,,,
786.12.1116," 11/16""x12"" ", $27.78 , $23.61 , $12.50 , $11.25 , $10.00 ,48,78619,,,,,
786.12.1216," 3/4""x12"" ", $30.42 , $25.86 , $13.69 , $12.32 , $10.95 ,48,78620,,,,,
,,,,,,,,,,,,,
786.18.0316," 3/16""x18"" ", $17.13 , $14.56 , $7.71 , $6.94 , $6.17 ,96,78604,,,,,
786.18.0416," 1/4""x18"" ", $17.13 , $14.56 , $7.71 , $6.94 , $6.17 ,96,78605,,,,,
786.18.0516," 5/16""x18"" ", $18.28 , $15.53 , $8.22 , $7.40 , $6.58 ,96,78606,,,,,
786.18.0616," 3/8""x18"" ", $18.43 , $15.67 , $8.29 , $7.46 , $6.63 ,96,78607,,,,,
786.18.0716," 7/16""x18"" ", $19.71 , $16.76 , $8.87 , $7.98 , $7.10 ,96,78621,,,,,
786.18.0816," 1/2""x18"" ", $21.17 , $17.99 , $9.53 , $8.57 , $7.62 ,96,78608,,,,,
786.18.0916," 9/16""x18"" ", $23.82 , $20.25 , $10.72 , $9.65 , $8.58 ,96,78622,,,,,
786.18.1016," 5/8""x18"" ", $26.38 , $22.42 , $11.87 , $10.68 , $9.50 ,48,78623,,,,,
786.18.1116," 11/16""x18"" ", $27.87 , $23.69 , $12.54 , $11.29 , $10.03 ,48,78624,,,,,
786.18.1216," 3/4""x18"" ", $30.45 , $25.89 , $13.70 , $12.33 , $10.96 ,48,78625,,,,,
786.18.1316," 13/16""x18"" ", $74.61 , $63.42 , $33.57 , $30.22 , $26.86 ,48,78626,,,,,
786.18.1416," 7/8""x18"" ", $83.43 , $70.92 , $37.54 , $33.79 , $30.03 ,48,78627,,,,,
786.18.1516," 15/16""x18"" ", $97.06 , $82.50 , $43.68 , $39.31 , $34.94 ,36,78628,,,,,
786.18.1616," 1""x18"" ", $105.05 , $89.29 , $47.27 , $42.54 , $37.82 ,36,78629,,,,,
,,,,,,,,,,,,,
786.24.0416," 1/4""x24"" ", $23.98 , $20.38 , $10.79 , $9.71 , $8.63 ,72,78609,,,,,
786.24.0516," 5/16""x24"" ", $26.45 , $22.48 , $11.90 , $10.71 , $9.52 ,72,78610,,,,,
786.24.0616," 3/8""x24"" ", $27.37 , $23.26 , $12.32 , $11.08 , $9.85 ,72,78611,,,,,
786.24.0816," 1/2""x24"" ", $31.02 , $26.37 , $13.96 , $12.56 , $11.17 ,72,78612,,,,,
,,,,,,,,,,,,,
786.30.0416," 1/4""x30"" ", $24.34 , $20.69 , $10.96 , $9.86 , $8.76 ,48,78613,,,,,
786.30.0616," 3/8""x30"" ", $28.34 , $24.09 , $12.75 , $11.48 , $10.20 ,48,78614,,,,,
,,,,,,,,,,,,,
MAG781 CARBIDE TIPPED BELLHANGER DRILL,,,,,,,,,,,,,
781.04.0316," 3/16""x4"" ", $3.29 , $2.80 , $1.48 , $1.33 , $1.19 ,20,78150,,,,,
781.04.0416," 1/4""x4"" ", $3.55 , $3.02 , $1.60 , $1.44 , $1.28 ,20,78151,,,,,
781.04.0516," 5/16""x4"" ", $4.50 , $3.82 , $2.02 , $1.82 , $1.62 ,20,78152,,,,,
781.04.0616," 3/8""x4"" ", $4.69 , $3.98 , $2.11 , $1.90 , $1.69 ,20,78153,,,,,
781.04.0716," 7/16""x4"" ", $5.69 , $4.83 , $2.56 , $2.30 , $2.05 ,10,78154,,,,,
781.04.0816," 1/2""x4"" ", $6.27 , $5.33 , $2.82 , $2.54 , $2.26 ,10,78155,,,,,
,,,,,,,,,,,,,
781.06.0416," 1/4""x6"" ", $4.11 , $3.49 , $1.85 , $1.66 , $1.48 ,20,78156,,,,,
781.06.0616," 3/8""x6"" ", $5.40 , $4.59 , $2.43 , $2.19 , $1.94 ,20,78157,,,,,
781.06.0816," 1/2""x6"" ", $6.40 , $5.44 , $2.88 , $2.59 , $2.30 ,10,78158,,,,,
781.06.1016," 5/8""x6"" ", $10.76 , $9.15 , $4.84 , $4.36 , $3.87 ,5,78159,,,,,
781.06.1216," 3/4""x6"" ", $14.51 , $12.34 , $6.53 , $5.88 , $5.22 ,5,78160,,,,,
781.06.1416," 7/8""x6"" ", $20.59 , $17.50 , $9.27 , $8.34 , $7.41 ,5,78161,,,,,
781.06.1616," 1""x1"" ", $30.03 , $25.52 , $13.51 , $12.16 , $10.81 ,5,78162,,,,,
,,,,,,,,,,,,,
781.12.0416," 1/4""x12"" ", $5.33 , $4.53 , $2.40 , $2.16 , $1.92 ,10,78111,,,,,
781.12.0516," 5/16""x12"" ", $6.40 , $5.44 , $2.88 , $2.59 , $2.30 ,10,78163,,,,,
781.12.0616," 3/8""x12"" ", $7.59 , $6.45 , $3.42 , $3.07 , $2.73 ,10,78113,,,,,
781.12.0816," 1/2""x12"" ", $10.22 , $8.68 , $4.60 , $4.14 , $3.68 ,5,78115,,,,,
781.12.1016," 5/8""x12"" ", $13.12 , $11.15 , $5.91 , $5.31 , $4.72 ,5,78117,,,,,
781.12.1216," 3/4""x12"" ", $17.81 , $15.14 , $8.01 , $7.21 , $6.41 ,5,78118,,,,,
,,,,,,,,,,,,,
781.18.0416," 1/4""x18"" ", $6.47 , $5.50 , $2.91 , $2.62 , $2.33 ,10,78125,,,,,
781.18.0516," 5/16""x18"" ", $7.40 , $6.29 , $3.33 , $3.00 , $2.66 ,10,78126,,,,,
781.18.0616," 3/8""x18"" ", $8.69 , $7.39 , $3.91 , $3.52 , $3.13 ,10,78127,,,,,
781.18.0816," 1/2""x18"" ", $11.60 , $9.86 , $5.22 , $4.70 , $4.18 ,5,78129,,,,,
781.18.1016," 5/8""x18"" ", $15.09 , $12.83 , $6.79 , $6.11 , $5.43 ,5,78131,,,,,
781.18.1216," 3/4""x18"" ", $20.46 , $17.39 , $9.21 , $8.29 , $7.36 ,5,78132,,,,,
781.18.1416," 7/8""x18"" ", $27.18 , $23.10 , $12.23 , $11.01 , $9.78 ,5,78133,,,,,
781.18.1616," 1""x18"" ", $34.55 , $29.37 , $15.55 , $13.99 , $12.44 ,5,78134,,,,,
,,,,,,,,,,,,,
781.24.0416," 1/4""x24"" ", $10.95 , $9.31 , $4.93 , $4.44 , $3.94 ,10,78139,,,,,
781.24.0516," 5/16""x24"" ", $11.09 , $9.42 , $4.99 , $4.49 , $3.99 ,10,78164,,,,,
781.24.0616," 3/8""x24"" ", $12.34 , $10.49 , $5.55 , $5.00 , $4.44 ,10,78141,,,,,
781.24.0816," 1/2""x24"" ", $17.81 , $15.14 , $8.01 , $7.21 , $6.41 ,5,78142,,,,,
781.24.1016," 5/8""x24"" ", $25.28 , $21.48 , $11.37 , $10.24 , $9.10 ,5,78143,,,,,
781.24.1216," 3/4""x24"" ", $29.96 , $25.47 , $13.48 , $12.13 , $10.79 ,5,78144,,,,,
,,,,,,,,,,,,,
781.30.0416," 1/4""x30"" ", $16.18 , $13.76 , $7.28 , $6.55 , $5.83 ,5,78165,,,,,
,,,,,,,,,,,,,
MAG777 FISH BITS,,,,,,,,,,,,,
777.54.0416," 1/4""x54"" ", $52.89 , $44.96 , $23.80 , $21.42 , $19.04 ,60,77701,,,,,
777.54.0616," 3/8""x54"" ", $55.62 , $47.27 , $25.03 , $22.53 , $20.00 ,60,77703,,,,,
777.54.0816," 1/2""x54"" ", $58.44 , $49.67 , $26.30 , $23.67 , $21.04 ,60,77705,,44.70,42.22,,
777.54.0916," 9/16""x54"" ", $65.36 , $55.55 , $29.41 , $26.47 , $23.53 ,60,77707,,,,,
777.54.1216," 3/4""x54"" ", $72.04 , $61.24 , $32.42 , $29.18 , $25.94 ,60,77709,,,,,
777.54.1616," 1""x54"" ", $106.90 , $90.87 , $48.11 , $43.30 , $38.49 ,36,77713,,,,,
,,,,,,,,,,,,,
777.72.0416," 1/4""x72"" ", $56.77 , $48.26 , $25.55 , $22.99 , $20.44 ,40,77702,,,,,
777.72.0616," 3/8""x72"" ", $61.12 , $51.96 , $27.51 , $24.76 , $22.00 ,40,77704,,,,,
777.72.0816," 1/2""x72"" ", $61.85 , $52.57 , $27.83 , $25.05 , $22.26 ,40,77706,,,,,
777.72.0916," 9/16""x72"" ", $67.77 , $57.61 , $30.50 , $27.45 , $24.40 ,40,77708,,,,,
777.72.1216," 3/4""x72"" ", $77.20 , $65.62 , $34.74 , $31.27 , $27.79 ,40,77710,,,,,
777.72.1616," 1""x72"" ", $111.78 , $95.01 , $50.30 , $45.27 , $40.24 ,40,77714,,,,,
,,,,,,,,,,,,,
MAG782 EXTENSIONS - UNIVERSAL,,,,,,,,,,,,,
782.55.0716," 7/16x5-1/2"" ", $28.87 , $24.54 , $12.99 , $11.69 ,,,78210,,,,,
782.95.0716," 7/16x9-1/2"" ", $30.28 , $25.74 , $13.62 , $12.26 ,,,78205,,,,,
,,,,,,,,,,,,,
782.12.0416," 1/4x12"" ", $25.86 , $21.98 , $11.64 , $10.47 ,,,78211,,,,,
782.12.0516," 5/16x12"" ", $27.98 , $23.78 , $12.59 , $11.33 ,,,78209,,,,,
782.12.0716," 7/16x12"" ", $31.15 , $26.48 , $14.02 , $12.62 ,,,78206,,,,,
782.12.0816*," 1/2x12"" ", $30.85 , $26.22 , $13.88 , $12.50 ,,,78221,,,,,
782.18.0416," 1/4x18"" ", $26.42 , $22.45 , $11.89 , $10.70 ,,,78218,,,,,
782.18.0516," 5/16x18"" ", $28.07 , $23.86 , $12.63 , $11.37 ,,,78203,,,,,
782.18.0716," 7/16x18"" ", $32.88 , $27.94 , $14.79 , $13.31 ,,,78207,,,,,
782.24.0516," 5/16x24"" ", $33.01 , $28.06 , $14.85 , $13.37 ,,,78204,,,,,
782.24.0716," 7/16x24"" ", $35.12 , $29.85 , $15.81 , $14.22 ,,,78208,,,,,
* for use with Long Boys only,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG782 EXTENSIONS WITH QUICK CHANGE SHANKS,,,,,,,,,,,,,
782.06.0416QC," 1/4x6"" ", $17.19 , $14.61 , $7.74 , $6.96 ,,,78213,,,,,
782.12.0416QC," 1/4x12"" ", $25.86 , $21.98 , $11.64 , $10.47 ,,,78214,,,,,
,,,,,,,,,,,,,
782.55.0716QC," 7/16x5-1/2"" ", $31.15 , $26.48 , $14.02 , $12.62 ,,,78215,,,,,
782.95.0716QC," 7/16x9-1/2"" ", $34.32 , $29.17 , $15.44 , $13.90 ,,,78216,,,,,
782.12.0716QC," 7/16x12"" ", $34.66 , $29.46 , $15.60 , $14.04 ,,,78217,,,,,
782.18.0716QC," 7/16x18"" ", $36.30 , $30.85 , $16.33 , $14.70 ,,,78219,,,,,
782.24.0716QC," 7/16x24"" ", $37.18 , $31.60 , $16.73 , $15.06 ,,,78220,,,,,
,,,,,,,,,,,,,
 625 SDS Extensions ,,,,,,,,,,,,,
625.95.0616," 3/8"" x 9-1/2"" ", $31.29 , $26.60 , $14.08 , $12.67 ,,,62578,,,,,
625.95.0716," 7/16"" x 9-1/2"" ", $34.25 , $29.12 , $15.41 , $13.87 ,,,62579,,,,,
,,,,,,,,,,,,,
MAG501 - BLACK AND GOLD BITS 135º SPLIT POINT,,,,,,,,,,,,,
501.0464," 1/16""  ", $0.98 , $0.83 , $0.44 , $0.40 ,,12,50101,,,,,
501.0564," 5/64""  ", $0.98 , $0.83 , $0.44 , $0.40 ,,12,50102,,,,,
501.0664," 3/32""  ", $1.07 , $0.91 , $0.48 , $0.43 ,,12,50103,,,,,
501.0764," 7/64""  ", $1.16 , $0.99 , $0.52 , $0.47 ,,12,50104,,,,,
501.0864," 1/8""  ", $1.26 , $1.07 , $0.57 , $0.51 ,,12,50105,,,,,
501.0964," 9/64""  ", $1.26 , $1.07 , $0.57 , $0.51 ,,12,50106,,,,,
501.1064," 5/32""  ", $1.49 , $1.27 , $0.67 , $0.60 ,,12,50107,,,,,
501.1164," 11/64""  ", $1.86 , $1.58 , $0.84 , $0.75 ,,12,50108,,,,,
501.1264," 3/16""  ", $1.86 , $1.58 , $0.84 , $0.75 ,,12,50109,,,,,
501.1364," 13/64""  ", $2.05 , $1.74 , $0.92 , $0.83 ,,12,50110,,,,,
501.1464," 7/32""  ", $2.05 , $1.74 , $0.92 , $0.83 ,,12,50111,,,,,
501.1564," 15/64""  ", $2.28 , $1.94 , $1.03 , $0.92 ,,12,50112,,,,,
501.1664," 1/4""  ", $2.65 , $2.25 , $1.19 , $1.07 ,,12,50113,,,,,
501.1764," 17/64""  ", $2.98 , $2.53 , $1.34 , $1.21 ,,12,50114,,,,,
501.1864," 9/32""  ", $3.96 , $3.36 , $1.78 , $1.60 ,,12,50115,,,,,
501.1964," 19/64""  ", $4.23 , $3.60 , $1.91 , $1.72 ,,12,50116,,,,,
,,,,,,,,,,,,,
501.2064," 5/16""  ", $4.61 , $3.92 , $2.07 , $1.87 ,,6,50117,,,,,
501.2164," 21/64""  ", $5.72 , $4.87 , $2.58 , $2.32 ,,6,50118,,,,,
501.2264," 11/32""  ", $6.05 , $5.14 , $2.72 , $2.45 ,,6,50119,,,,,
501.2364," 23/64""  ", $6.24 , $5.30 , $2.81 , $2.53 ,,6,50120,,,,,
501.2464," 3/8""  ", $6.93 , $5.89 , $3.12 , $2.81 ,,6,50121,,,,,
501.2564," 25/64""  ", $7.45 , $6.33 , $3.35 , $3.02 ,,6,50122,,,,,
501.2664," 13/32""  ", $7.91 , $6.72 , $3.56 , $3.20 ,,6,50123,,,,,
501.2764," 27/64""  ", $8.70 , $7.40 , $3.92 , $3.52 ,,6,50124,,,,,
501.2864," 7/16""  ", $9.03 , $7.67 , $4.06 , $3.66 ,,6,50125,,,,,
501.2964," 29/64""  ", $9.54 , $8.11 , $4.29 , $3.86 ,,6,50126,,,,,
501.3064," 15/32""  ", $10.28 , $8.74 , $4.63 , $4.17 ,,6,50127,,,,,
501.3164," 31/64""  ", $11.08 , $9.41 , $4.98 , $4.49 ,,6,50128,,,,,
501.3264," 1/2""  ", $12.29 , $10.44 , $5.53 , $4.98 ,,6,50129,,,,,
,,,,,,,,,,,,,
Twist Drill Sets,,,,,,,,,,,,,
501.1300S, 13-PC  , $27.96 , $23.76 , $12.58 , $11.32 ,,,50130,,,,,
501.2100S, 21-PC , $103.42 , $87.91 , $46.54 , $41.88 ,,,50131,,,,,
501.2900S, 29-PC  , $129.11 , $109.74 , $58.10 , $52.29 ,,,50132,,,,,
501.2900B, 29-PC  , $145.43 , $123.62 , $65.44 , $58.90 ,,,50133,,,,,
,,,,,,,,,,,,,
MAG501," BLACK & GOLD W/ DISPLAY CASE - 1/16"" TO 1/2"" (504 pcs) ",,,, $696.05 ,,,,,,,,
501.115PC," 115-PC DRILL KIT (INCL.  BITS, LETTERS & NUMBERS) ",,,, $180.75 ,,,,,,,,
,,,,,,,,,,,,,
MAG503 - COBALT JOBBER BITS,,,,,,,,,,,,,
503.0464," 1/16""  ", $1.36 , $1.15 , $0.61 , $0.55 ,,12,50301,,,,,
503.0564," 5/64""  ", $1.36 , $1.15 , $0.61 , $0.55 ,,12,50302,,,,,
503.0664," 3/32""  ", $1.52 , $1.29 , $0.68 , $0.62 ,,12,50303,,,,,
503.0764," 7/64""  ", $1.52 , $1.29 , $0.68 , $0.62 ,,12,50304,,,,,
503.0864," 1/8""  ", $1.52 , $1.29 , $0.68 , $0.62 ,,12,50305,,,,,
503.0964," 9/64""  ", $2.13 , $1.81 , $0.96 , $0.86 ,,12,50306,,,,,
503.1064," 5/32""  ", $2.42 , $2.06 , $1.09 , $0.98 ,,12,50307,,,,,
503.1164," 11/64""  ", $2.68 , $2.28 , $1.21 , $1.09 ,,12,50308,,,,,
503.1264," 3/16""  ", $2.97 , $2.53 , $1.34 , $1.20 ,,12,50309,,,,,
503.1364," 13/64""   ", $3.20 , $2.72 , $1.44 , $1.30 ,,12,50310,,,,,
503.1464," 7/32""  ", $3.75 , $3.19 , $1.69 , $1.52 ,,12,50311,,,,,
503.1564," 15/64""  ", $4.04 , $3.43 , $1.82 , $1.64 ,,12,50312,,,,,
503.1664," 1/4""  ", $4.72 , $4.01 , $2.12 , $1.91 ,,12,50313,,,,,
503.1764," 17/64""  ", $5.33 , $4.53 , $2.40 , $2.16 ,,12,50314,,,,,
503.1864," 9/32""  ", $5.88 , $5.00 , $2.65 , $2.38 ,,12,50315,,,,,
503.1964," 19/64""  ", $6.95 , $5.91 , $3.13 , $2.81 ,,12,50316,,,,,
,,,,,,,,,,,,,
503.2064," 5/16""  ", $7.47 , $6.35 , $3.36 , $3.02 ,,6,50317,,,,,
503.2164," 21/64""  ", $8.01 , $6.81 , $3.61 , $3.25 ,,6,50318,,,,,
503.2264," 11/32""   ", $9.60 , $8.16 , $4.32 , $3.89 ,,6,50319,,,,,
503.2364," 23/64""  ", $10.67 , $9.07 , $4.80 , $4.32 ,,6,50320,,,,,
503.2464," 3/8""  ", $11.73 , $9.97 , $5.28 , $4.75 ,,6,50321,,,,,
503.2564," 25/64""  ", $12.80 , $10.88 , $5.76 , $5.18 ,,6,50322,,,,,
503.2664," 13/32""  ", $13.86 , $11.78 , $6.24 , $5.62 ,,6,50323,,,,,
503.2764," 27/64""  ", $14.32 , $12.17 , $6.44 , $5.80 ,,6,50324,,,,,
503.2864," 7/16""  ", $16.00 , $13.60 , $7.20 , $6.48 ,,6,50325,,,,,
503.2964," 29/64""  ", $16.55 , $14.06 , $7.45 , $6.70 ,,6,50326,,,,,
503.3064," 15/32""  ", $19.20 , $16.32 , $8.64 , $7.77 ,,6,50327,,,,,
