"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
735.0816," 1/2"" ", $34.09 , $28.98 , $15.34 , $13.81 , $12.27 ,48,73503,,,,,
735.0916," 9/16"" ", $36.08 , $30.67 , $16.24 , $14.61 , $12.99 ,48,73504,,,,,
735.1016," 5/8"" ", $36.86 , $31.33 , $16.59 , $14.93 , $13.27 ,48,73505,,,,,
735.1116," 11/16"" ", $39.61 , $33.67 , $17.83 , $16.04 , $14.26 ,48,73506,,,,,
735.1216," 3/4"" ", $40.43 , $34.36 , $18.19 , $16.37 , $14.55 ,48,73507,,,,,
735.1316," 13/16"" ", $44.87 , $38.14 , $20.19 , $18.17 , $16.15 ,48,73508,,,,,
735.1416," 7/8"" ", $47.48 , $40.36 , $21.36 , $19.23 , $17.09 ,48,73509,,,,,
735.1516," 15/16"" ", $57.32 , $48.73 , $25.80 , $23.22 , $20.64 ,36,73510,,,,,
735.1616," 1"" ", $58.51 , $49.74 , $26.33 , $23.70 , $21.06 ,36,73511,,,,,
735.1716," 1-1/16"" ", $65.46 , $55.64 , $29.45 , $26.51 , $23.56 ,24,73512,,,,,
735.1816," 1-1/8"" ", $66.82 , $56.80 , $30.07 , $27.06 , $24.06 ,24,73513,,,,,
735.2016," 1-1/4"" ", $79.43 , $67.51 , $35.74 , $32.17 , $28.59 ,24,73514,,,,,
735.2216," 1-3/8"" ", $89.21 , $75.83 , $40.14 , $36.13 , $32.12 ,18,73515,,,,,
735.2416," 1-1/2"" ", $96.79 , $82.27 , $43.55 , $39.20 , $34.84 ,18,73516,,,,,
,,,,,,,,,,,,,
MAG770 ELECTRICIAN'S POWER BITS,,,,,,,,,,,,,
"8-1/2"" OAL x 5-1/2"" Twist Length",,,,,,,,,,,,,
770.1016," 5/8"" ", $35.97 , $30.57 , $16.18 , $14.57 , $12.95 ,72,77001,,,,,
770.1116," 11/16"" ", $36.98 , $31.44 , $16.64 , $14.98 , $13.31 ,72,77002,,,,,
770.1216," 3/4"" ", $38.13 , $32.41 , $17.16 , $15.44 , $13.73 ,72,77003,,,,,
770.1316," 13/16"" ", $41.35 , $35.15 , $18.61 , $16.75 , $14.89 ,72,77004,,,,,
770.1416," 7/8"" ", $45.81 , $38.94 , $20.62 , $18.55 , $16.49 ,72,77005,,,,,
770.1616," 1"" ", $47.93 , $40.74 , $21.57 , $19.41 , $17.26 ,72,77006,,,,,
770.1816," 1-1/8"" ", $59.97 , $50.98 , $26.99 , $24.29 , $21.59 ,60,77007,,,,,
770.2016," 1-1/4"" ", $68.47 , $58.20 , $30.81 , $27.73 , $24.65 ,60,77008,,,,,
,,,,,,,,,,,,,
MAG701 SINGLE SPUR AUGER BITS,,,,,,,,,,,,,
"7-7/8"" OAL X 5"" Twist Length",,,,,,,,,,,,,
701.0416," 1/4"" ", $12.06 , $10.25 , $5.43 , $4.89 , $4.34 ,180,70101,,,,,
701.0516," 5/16"" ", $12.06 , $10.25 , $5.43 , $4.89 , $4.34 ,180,70102,,,,,
701.0616," 3/8"" ", $12.06 , $10.25 , $5.43 , $4.89 , $4.34 ,180,70103,,,,,
701.0716," 7/16"" ", $12.95 , $11.01 , $5.83 , $5.25 , $4.66 ,180,70104,,,,,
701.0816," 1/2"" ", $12.95 , $11.01 , $5.83 , $5.25 , $4.66 ,180,70105,,,,,
701.0916," 9/16"" ", $14.79 , $12.57 , $6.65 , $5.99 , $5.32 ,144,70106,,,,,
701.1016," 5/8"" ", $14.87 , $12.64 , $6.69 , $6.02 , $5.35 ,144,70107,,,,,
701.1116," 11/16"" ", $14.95 , $12.70 , $6.73 , $6.05 , $5.38 ,144,70108,,,,,
701.1216," 3/4"" ", $15.52 , $13.19 , $6.98 , $6.28 , $5.59 ,144,70109,,,,,
701.1316," 13/16"" ", $17.16 , $14.59 , $7.72 , $6.95 , $6.18 ,120,70110,,,,,
701.1416," 7/8"" ", $18.40 , $15.64 , $8.28 , $7.45 , $6.62 ,120,70111,,,,,
701.1516," 15/16"" ", $22.26 , $18.92 , $10.02 , $9.02 , $8.01 ,120,70112,,,,,
701.1616," 1"" ", $22.63 , $19.24 , $10.18 , $9.17 , $8.15 ,120,70113,,,,,
701.1716," 1-1/16"" ", $26.38 , $22.43 , $11.87 , $10.69 , $9.50 ,60,70118,,,,,
701.1816," 1-1/8"" ", $26.46 , $22.49 , $11.91 , $10.72 , $9.52 ,60,70114,,,,,
701.2016," 1-1/4"" ", $31.38 , $26.67 , $14.12 , $12.71 , $11.30 ,60,70115,,,,,
701.2216," 1-3/8"" ", $44.81 , $38.09 , $20.16 , $18.15 , $16.13 ,60,70116,,,,,
701.2416," 1-1/2"" ", $49.10 , $41.73 , $22.09 , $19.89 , $17.68 ,60,70117,,,,,
,,,,,,,,,,,,,
MAG704 SINGLE SPUR AUGER BITS,,,,,,,,,,,,,
"13"" OAL x 9-1/2"" Twist Length",,,,,,,,,,,,,
704.0516," 5/16"" ", $19.59 , $16.65 , $8.82 , $7.93 , $7.05 ,96,70413,,,,,
704.0616," 3/8"" ", $20.52 , $17.44 , $9.23 , $8.31 , $7.39 ,96,70414,,,,,
704.0716," 7/16"" ", $21.01 , $17.86 , $9.45 , $8.51 , $7.56 ,96,70415,,,,,
704.0816," 1/2"" ", $22.19 , $18.86 , $9.99 , $8.99 , $7.99 ,96,70416,,,,,
704.0916," 9/16"" ", $22.48 , $19.11 , $10.12 , $9.10 , $8.09 ,96,70417,,,,,
704.1016," 5/8"" ", $23.54 , $20.01 , $10.59 , $9.53 , $8.47 ,96,70418,,,,,
704.1116," 11/16"" ", $24.83 , $21.11 , $11.17 , $10.06 , $8.94 ,48,70401,,,,,
704.1216," 3/4"" ", $26.74 , $22.73 , $12.03 , $10.30 , $9.63 ,48,70402,,,,,
704.1316," 13/16"" ", $30.36 , $25.80 , $13.66 , $12.29 , $10.93 ,48,70403,,,,,
704.1416," 7/8"" ", $31.62 , $26.88 , $14.23 , $12.81 , $11.38 ,48,70404,,,,,
704.1516," 15/16"" ", $35.70 , $30.34 , $16.06 , $14.46 , $12.85 ,48,70405,,,,,
704.1616," 1"" ", $38.30 , $32.55 , $17.23 , $15.51 , $13.79 ,36,70406,,,,,
704.1716," 1-1/16"" ", $41.92 , $35.64 , $18.87 , $16.98 , $15.09 ,36,70410,,,,,
704.1816," 1-1/8"" ", $45.18 , $38.40 , $20.33 , $18.30 , $16.26 ,24,70407,,,,,
704.1916, 1-3/16 , $47.36 , $40.25 , $21.31 , $19.18 , $17.05 ,24,70411,,,,,
704.2016," 1-1/4"" ", $49.48 , $42.06 , $22.27 , $20.04 , $17.81 ,24,70408,,,,,
704.2116," 1-5/16"" ", $54.24 , $46.10 , $24.41 , $21.97 , $19.53 ,18,70412,,,,,
704.2416," 1-1/2"" ", $58.94 , $50.10 , $26.52 , $23.87 , $21.22 ,18,70409,,,,,
,,,,,,,,,,,,,
MAG710 SINGLE SPUR AUGER BITS,,,,,,,,,,,,,
"18"" OAL x 12"" Twist Length",,,,,,,,,,,,,
710.0616," 3/8"" ", $30.43 , $25.87 , $13.69 , $12.32 , $10.95 ,48,71001,,,,,
710.0716," 7/16"" ", $30.59 , $26.00 , $13.76 , $12.39 , $11.01 ,48,71002,,,,,
710.0816," 1/2"" ", $32.12 , $27.30 , $14.45 , $13.01 , $11.56 ,48,71003,,,,,
710.0916," 9/16"" ", $33.70 , $28.65 , $15.17 , $13.65 , $12.13 ,48,71004,,,,,
710.1016," 5/8"" ", $33.74 , $28.67 , $15.18 , $13.66 , $12.14 ,48,71005,,,,,
710.1116," 11/16"" ", $36.88 , $31.35 , $16.60 , $14.94 , $13.28 ,48,71006,,,,,
710.1216," 3/4"" ", $37.25 , $31.66 , $16.76 , $15.09 , $13.41 ,48,71007,,,,,
710.1316," 13/16"" ", $40.77 , $34.65 , $18.35 , $16.51 , $14.68 ,48,71008,,,,,
710.1416," 7/8"" ", $43.75 , $37.19 , $19.69 , $17.72 , $15.75 ,48,71009,,,,,
