,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date: 05/13/22,,,,,CUSTOMER PRICE BOOK,,,,,,,,,,,,,,,
M & M ELECTRICAL SUPPLY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item Category Code,Item No.,,UPC Code,Description,,Price/E,List Price/E,Item Multipl. Group,,,Master Qty,Inner Qty,,,,,,,,
BX-FLEX-MC,102,,751338103603,"3/4"" FLEX 90DEG CONN 10/100-PK",,2.5159,6.7996,FLXCN90,,,100,10,,,,,,,,
PVC,1020,,751338234017,"4"" PVC COUPLING 20-PK",,3.2335,8.6226,PVC,,,20,0,,,,,,,,
PVC,1020A,,751338230118,"5"" PVC COUPLING 10-PK",,9.4310,25.1493,PVC,,,10,0,,,,,,,,
PVC,1020B,,751338230125,"6"" PVC COUPLING 8-PK",,12.3215,32.8574,PVC,,,8,0,,,,,,,,
PVC,1020L,,751338873452,"4"" PVC LONG LINE COUP WITH CENTER STOP 20-PK",,11.6381,31.0348,PVC,,,20,8,,,,,,,,
PVC,1021,,751338230132,"1/2""PVC FEMALE ADAPTER 200PK",,0.2646,0.7056,PVC,,,200,0,,,,,,,,
PVC,1022,,751338230149,"3/4"" PVC FEMALE ADAPTER 125-PK",,0.3773,1.0060,PVC,,,125,0,,,,,,,,
PVC,1023,,751338230156,"1"" PVC FEMALE ADAPTER 70-PK",,0.5245,1.3987,PVC,,,70,0,,,,,,,,
PVC,1024,,751338230163,"1-1/4"" PVC FEMALE ADAPTER 40PK",,0.7226,1.9269,PVC,,,40,0,,,,,,,,
PVC,1025,,751338230170,"1-1/2""PVC FEMALE ADAPTER30PK",,0.7471,1.9923,PVC,,,30,0,,,,,,,,
PVC,1026,,751338230187,"2"" PVC FEMALE ADAPTER 40-PK",,1.0919,2.9117,PVC,,,40,0,,,,,,,,
PVC,1027,,751338230194,"2-1/2"" PVC FEMALE ADAPTER 20PK",,2.0283,5.4087,PVC,,,20,0,,,,,,,,
PVC,1028,,751338234024,"3"" PVC FEMALE ADAPTER 40PK",,3.1022,8.2726,PVC,,,40,0,,,,,,,,
PVC,1029,,751338230217,"3-1/2"" PVC FEMALE ADAPTER 30PK",,4.0725,10.8599,PVC,,,30,0,,,,,,,,
BX-FLEX-MC,102I,,751338103610,"3/4""FLEX 90DEG INS CON10/100PK",,3.1039,8.3888,FLXCN90,,,100,10,,,,,,,,
BX-FLEX-MC,102M,,751338105201,"3/4"" FLEX 90 MAL 10/100-PK",,4.2023,11.3576,FLXCNM90,,,100,10,,,,,,,,
BX-FLEX-MC,102MI,,751338105218,"3/4""FLEX.90DEG MAL.CONN.INS.10/100PK",,5.2527,14.1966,FLXCNM90,,,100,10,,,,,,,,
BX-FLEX-MC,103,,751338103702,"1"" FLEX 90DEG CONN 5/50-PK",,6.4983,17.5629,FLXCN90,,,50,5,,,,,,,,
PVC,1030,,751338230224,"4"" PVC FEMALE ADAPTER 20-PK",,4.2983,11.4621,PVC,,,20,20,,,,,,,,
PVC,1030A,,751338230231,"5"" PVC FEMALE ADAPTER 10-PK",,11.7728,31.3942,PVC,,,10,10,,,,,,,,
PVC,1030B,,751338230248,"6"" PVC FEMALE ADAPTER 8-PK",,15.5746,41.5322,PVC,,,8,8,,,,,,,,
PVC,1031,,751338230255,"1/2"" PVC MALE ADAPTER 200-PK",,0.2107,0.5619,PVC,,,200,200,,,,,,,,
PVC,1032,,751338230262,"3/4"" PVC MALE ADAPTER 125-PK",,0.3724,0.9930,PVC,,,125,125,,,,,,,,
PVC,1033,,751338230279,"1"" PVC MALE ADAPTER 70-PK",,0.4704,1.2543,PVC,,,70,70,,,,,,,,
PVC,1034,,751338230286,"1-1/4"" PVC MALE ADAPTER 40-PK",,0.6057,1.6151,PVC,,,40,40,,,,,,,,
PVC,1035,,751338230293,"1-1/2"" PVC MALE ADAPTER 30-PK",,0.7316,1.9510,PVC,,,30,30,,,,,,,,
PVC,1036,,751338234031,"2"" PVC MALE ADAPTER 40-PK",,1.0469,2.7918,PVC,,,40,40,,,,,,,,
PVC,1037,,751338230316,"2-1/2"" PVC MALE ADAPTER 20PK",,1.8659,4.9758,PVC,,,20,20,,,,,,,,
PVC,1038,,751338230323,"3"" PVC MALE ADAPTER 40-PK",,2.6225,6.9933,PVC,,,40,40,,,,,,,,
PVC,1039,,751338230330,"3-1/2"" PVC MALE ADAPTER 30-PK",,3.5454,9.4543,PVC,,,30,30,,,,,,,,
BX-FLEX-MC,103I,,751338103719,"1"" FLEX 90DEG CON INS 5/50-PK",,7.4001,20.0003,FLXCN90,,,50,5,,,,,,,,
BX-FLEX-MC,103M,,751338105300,"1"" FLEX 90 MAL 5/50-PK",,9.3650,25.3107,FLXCNM90,,,50,5,,,,,,,,
