,,Selecta Fasteners,,,,,,,,,,
,Effective 4-18-22,,,,,,,,,,,
Item ID,UPC,Desc,Net Per,4-18-22 Price Net,Price EA,,,,,,,
BPDSC14-2,78103530614,"1/4"" MAGNETIC SCREW CHUCK 2/BLSTR",1,5.7713,5.7713,,,,,,,
BPDSC14L,78103530631,"1/BLSTR 1/4"" X 2-9/16 HEX CHUCK",1,3.3638,3.3638,,,,,,,
BPDSC38,78103530632,"1/BLSTR 3/8"" X 1-5/8 HEX CHUCK",1,4.3538,4.3538,,,,,,,
BPDSC38L,78103530633,"1/BLSTR 3/8"" X 2-9/16 HEX CHUCK",1,6.3225,6.3225,,,,,,,
BPDSC516,78103530634,"1/BLSTR 5/16"" HEX CHUCK",1,4.0388,4.0388,,,,,,,
BPDSC516-2,78103530615,"5/16"" MAG SCRW CHUK 2/BLSTR",1,6.255,6.255,,,,,,,
BPDSC516L,78103530635,"1/BLSTR 5/16"" X 2-9/16 HEX CHUCK",1,6.1763,6.1763,,,,,,,
BPDSC516L-2,78103530616,"5/16"" MAGNETIC DRIL SCREW CHUCK LONG-2/BLS",1,7.83,7.83,,,,,,,
BPHSDS5,78103530620,5-PIECE HEX SHANK DRILL SET - BLISTER PAK,1,15.7388,15.7388,,,,,,,
BPMBHN14,78103530619,MAGN INSRT BIT HLDR- BLSTR PAK,1,7.1213,7.1213,,,,,,,
BPPIB1,78103530601,#1 PHILLIPS INSERT BIT 10/BLISTER,1,5.0625,5.0625,,,,,,,
BPPIB1-1,78103530636,"1/BLSTR #1 PHIL INSERT BIT 1/4"" X 1""",1,0.7988,0.7988,,,,,,,
BPPIB2,78103530602,#2 PHILLIPS INSERT BIT 10/BLISTER,1,5.0625,5.0625,,,,,,,
BPPIB2-1,78103530637,"1/BLSTR #2 PHIL INSERT BIT 1/4"" X 1""",1,0.7988,0.7988,,,,,,,
BPPIB3,78103530603,#3 PHILLIPS INSERT BIT 10/BLISTER,1,5.0625,5.0625,,,,,,,
BPPPB1,78103530601,#1 PHILLIPS POWER BIT 5/BLISTER,1,4.7475,4.7475,,,,,,,
BPPPB2,78103530609,#2 PHILLIPS POWER BIT 5/BLISTER,1,4.7475,4.7475,,,,,,,
BPPPB2-1,78103530641,1/BLSTR #2 PHIL POWER BIT 1-15/16L,1,1.0688,1.0688,,,,,,,
BPPPB2L-1,78103530642,"1/BLSTR #2 PHIL POWR BIT 3""L",1,1.3838,1.3838,,,,,,,
BPPPB3L-1,78103530644,"1/BLSTR #3 PHIL POWR BIT 3""L",1,1.3838,1.3838,,,,,,,
BPSIB1012,78103530607,10-12 SLOTTED INSERT BIT 10/BLISTER,1,6.3225,6.3225,,,,,,,
BPSIB68,78103530605,6-8 SLOTTED INSERT BIT 10/BLISTER,1,6.3225,6.3225,,,,,,,
BPSIB68-1,78103530647,1/BLSTR 6-8 SLOT INSERT BIT,1,0.8325,0.8325,,,,,,,
BPSIB810,78103530606,8-10 SLOTTED INSERT BIT 10/BLISTER,1,6.3225,6.3225,,,,,,,
BPSPB810,78103530610,8-10 SLOTTED POWER BIT 5/BLISTER,1,6.0863,6.0863,,,,,,,
BPSQIB2,78103530604,#2 SQR DR INSERT BIT 10/BLISTER,1,6.3225,6.3225,,,,,,,
BRH101,78103511345,#10 X 1 SLOT ROUND BRASS M/S,100,Call,Call,,,,,,,
BRH101J,78103551345,#10 X 1 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH102,78103511349,10-24 X 2 ROUND HD SLOT BRASS M/S,100,Call,Call,,,,,,,
BRH11,78103511361,10-32 X 1 SLOT ROUND HD BRASS M/S,100,Call,Call,,,,,,,
BRH112J,78103551359,10-32 X 1/2 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH11J,78103551361,10-32 X 1 SLOT ROUND HD BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH12J,78103551364,10-32 X 2 ROUND HD SLOT BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH141,78103511371,1/4-20 X 1 RD HD SLOT BRASS,100,Call,Call,,,,,,,
BRH14112,78103511373,1/4-20 X 1-1/2 RD HD SLOT BRASS,100,Call,Call,,,,,,,
BRH1412,78103511368,1/4-20 X 1/2 RD HD SLOT BRASS,100,Call,Call,,,,,,,
BRH142,78103511375,1/4-20 X 2 RD HD SLOT BRASS,100,Call,Call,,,,,,,
BRH1434,78103511374,1/4-20 X 3/4 SLOT ROUND BRASS M/S,100,Call,Call,,,,,,,
BRH1434J,78103551374,1/4-20 X 3/4 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH612,78103511315,6-32 X 1/2 SLOT ROUND BRASS M/S,100,Call,Call,,,,,,,
BRH612J,78103551315,6-32 X 1/2 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH61J,78103551317,6-32 X 1 SLOT ROUND HD BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH62,78103511321,6-32 X 2 RD HD SLT BRASS,100,Call,Call,,,,,,,
BRH634J,78103551316,6-32 X 3/4 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH81,78103511332,8-32 X 1 SLOT ROUND HD BRASS M/S,100,Call,Call,,,,,,,
BRH8112J,78103551334,8-32 X 1-1/2 RD HD SLT M/S BRASS IN JAR,100,Call,Call,,,,,,,
BRH81J,78103551332,8-32 X 1 SLOT ROUND HD BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH82,78103511336,8-32 X 2 RD HD BRASS M/S,100,Call,Call,,,,,,,
BRH82J,78103551336,8-32 X 2 RD HD BRASS M/S IN JAR,100,Call,Call,,,,,,,
BRH83,78103511338,"8-32 X 3"" ROUND HD SLOTTED M/S BRASS",100,Call,Call,,,,,,,
BRH834,78103511331,8-32 X 3/4 SLOT ROUND BRASS M/S,100,Call,Call,,,,,,,
BRH834J,78103551331,8-32 X 3/4 SLOT ROUND BRASS M/S IN JAR,100,Call,Call,,,,,,,
BS1,78103522012,2-PC SWITCH BOX HOLDERS 100 PAIR/BOX,100,23.49,0.2349,,,,,,,
BSAE10,78103563042,#10 BRASS SAE FLAT WASHERS,100,Call,Call,,,,,,,
BSAE14,78103563043,"1/4"" FLAT WASHER BRASS",100,Call,Call,,,,,,,
BSAE38,78103563044,"3/8"" FLAT WASHER BRASS",100,Call,Call,,,,,,,
CB122J,78103568155,1/2-13 X 2 CARRIAGE BOLTS W/NUTS ZINC IN J,100,40.3425,0.4034,,,,,,,
CB123J,78103568159,1/2-13 X 3 CARRIAGE BOLTS W/NUTS IN JAR,100,46.17,0.4617,,,,,,,
CB14112J,78103568106,"1/4-20 X 1-1/2"" CARRIAGE BOLT W/NUTS ZINC PLTD IN JAR",100,10.9013,0.109,,,,,,,
CB1412J,78103528101,1/4-20 X 1/2 CARR BOLT W/NUTS,100,7.9538,0.0795,,,,,,,
CB141J,78103568104,1/4-20 X 1 CARR. BOLT W/NUTS ZINC IN JAR,100,8.4488,0.0845,,,,,,,
CB142J,78103568108,1/4-20 X 2 CARR. BOLT W/NUTS ZINC IN JAR,100,12.015,0.1202,,,,,,,
CB1434J,78103568103,1/4-20 X 3/4 CARR. BOLTS W/NUTS ZINC IN JA,100,7.5263,0.0753,,,,,,,
CB143J,78103568112,1/4-20 X 3 CARRIAGE BOLTS W/NUTS ZINC IN J,100,8.2913,0.0829,,,,,,,
CB38112J,78103568138,3/8 X 1-1/2 CARR BOLTS W/NUTS ZINC IN JAR,100,18.5513,0.1855,,,,,,,
CB381J,78103568136,3/8-16 X 1 CARRIAGE BOLTS W/NUTS ZINC IN J,100,16.7288,0.1673,,,,,,,
CB38212J,78103568142,3/8 X 2-1/2 CARR BOLT W/NUTS IN JAR,100,24.6038,0.246,,,,,,,
CB382J,78103568140,3/8-16 X 2 CARRIAGE BOLT W/NUTS ZINC IN JA,100,20.7,0.207,,,,,,,
CB3834J,78103568135,3/8-16 X3/4 CARRIAGE BOLTS W/NUTS ZINC IN JAR,100,16.0313,0.1603,,,,,,,
CB383J,78103568144,3/8-16 X 3 CARRIAGE BOLTS W/NUTS ZINC IN J,100,27.6075,0.2761,,,,,,,
CB384J,78103568146,3/8-16 X 4 CARRIAGE BOLTS W/NUTS ZINC IN J,100,33.2325,0.3323,,,,,,,
CC12,78103521033,"1/2"" CABLE CLAMPS NATURAL",100,5.94,0.0594,,,,,,,
CC12B,78103521043,"1/2"" CABLE CLAMPS/BLACK 100/BLSTR",100,5.94,0.0594,,,,,,,
CC14,78103521031,"1/4"" CABLE CLAMPS NATURAL",100,4.5113,0.0451,,,,,,,
CC14B,78103521041,"1/4"" CABLE CLAMPS/BLACK 100/BLSTR",100,4.5113,0.0451,,,,,,,
CC18,78103521030,"1/8"" CABLE CLAMPS NATURAL",100,3.8475,0.0385,,,,,,,
CC18B,78103521040,"1/8"" CABLE CLAMPS/BLACK 50/BLSTR",100,3.8475,0.0385,,,,,,,
CC38,78103521032,"3/8"" CABLE CLAMPS NATURAL",100,4.815,0.0482,,,,,,,
CC38B,78103521042,"3/8"" CABLE CLAMP/BLACK 100/BLSTR",100,4.815,0.0482,,,,,,,
CDS2,78103523025,"1/2"" EMT OR CT NAIL-TYPE DRIV STRAP",100,10.4288,0.1043,,,,,,,
CDS2J,78103563025,"1/2"" NAIL-TYPE DRIV STRAP JAR",100,8.3363,0.0834,,,,,,,
CDS4,78103523026,"3/4"" EMT OR CT NAIL-TYPE DRIV STRAP",100,12.6788,0.1268,,,,,,,
CDS4C,78103523023,"3/4"" EMT CONDUIT DRIVE STRAP COPPERED",100,12.015,0.1202,,,,,,,
CDS4J,78103563026,"3/4"" EMT CONDUIT DRIV STRAP JAR",100,10.575,0.1058,,,,,,,
CDS6,78103523027,"1"" EMT OR CT NAIL-TYPE DRIVE STRAP ZINC",100,13.68,0.1368,,,,,,,
CDS6J,78103563027,"1"" EMT NAIL-TYPE CONDUIT DR STRAP ZINC JAR",100,13.7475,0.1375,,,,,,,
CG101,78103530500,CAULKING GUNTION DRILL & TAP,1,6.2213,6.2213,,,,,,,
CMD316-312,78103514309,3/16 X 3-1/2 TAP-CON MASNRY DRIL,1,2.6325,2.6325,,,,,,,
CMD316-412,78103514310,3/16 X 4-1/2 CONC MSNRY DRIL,1,2.9363,2.9363,,,,,,,
CMD316-512,78103514311,3/16 X 5-1/2 CONC MASON DRIL,1,2.565,2.565,,,,,,,
CMD316-612,78103514312,"3/16 X 6-1/2"" CONCRETE MASONRY DRILL",1,3.3188,3.3188,,,,,,,
CMD532-312,78103514305,5/32 X 3-1/2 CONCR MASNRY DRIL,1,2.4863,2.4863,,,,,,,
CMD532-412,78103514306,"5/32 X 4-1/2"" CONCRETE MASONRY DRIL",1,2.8575,2.8575,,,,,,,
CMD532-512,78103514307,"5/32 X 5-1/2"" CONCRETE MASONRY DRIL",1,3.0825,3.0825,,,,,,,
COVALL-CL,78103529420,COVERALLS CLEAR LENS SAFETY GLASSES,1,7.2338,7.2338,,,,,,,
CS100,78103523013,"1-1/4""L X 9/16""W CBL STAPLE 100/BOX",100,3.2063,0.0321,,,,,,,
CS100J,78103563013,"1-1/4""L X 9/16""W CABLE STAPLES IN JAR",100,3.555,0.0356,,,,,,,
CS300,78103523016,"1-3/8""L X 13/16""W CABLE STAPLE",100,5.8163,0.0582,,,,,,,
CS300J,78103563016,"1-3/8""L X 13/16""W CABLE STAPLE IN JAR",100,6.0863,0.0609,,,,,,,
CS350,78103523017,"1-7/16""L X 1-1/16""W CABLE STAPLE",100,7.92,0.0792,,,,,,,
CS350J,78103563017,"1-7/16""L X 1-1/16""W CABLE STAPLE IN JAR",100,8.19,0.0819,,,,,,,
CS40,78103523010,"1""L X 1/2""W CABLE STAPLES {100/BOX}",100,2.97,0.0297,,,,,,,
CS40J,78103563010,"1""L X 1/2""W CABLE STAPLES {100 IN JAR}",100,3.375,0.0338,,,,,,,
CSF14114,78103514180,1/4 X 1-1/4 PHIL FLAT ANCHORING SCREWS,100,13.635,0.1364,,,,,,,
CSF14114J,78103554180,1/4 X 1-1/4 PHIL FLAT ANCHORING SCREWS IN JAR,100,14.0513,0.1405,,,,,,,
CSF14134,78103514181,1/4 X 1-3/4 FLAT HD TAP-CON W/DRL,100,12.7495,0.1275,,,,,,,
CSF14134J,78103554181,1/4 X 1-3/4 FLAT HD TAP-CON W/DRL IN JAR,100,12.7495,0.1275,,,,,,,
CSF14214,78103514182,1/4 X 2-1/4 FLAT HD TAP-CON W/DRL,100,18.6075,0.1861,,,,,,,
CSF14214J,78103554182,1/4 X 2-1/4 FLAT HD TAP-CON W/DRL IN JAR,100,19.0238,0.1902,,,,,,,
CSF14234,78103514183,1/4 X 2-3/4 FLAT HD TAP-CON W/DRL,100,21.0263,0.2103,,,,,,,
CSF14234J,78103554183,1/4 X 2-3/4 FLAT HD TAP-CON W/DRL IN JAR,100,21.465,0.2147,,,,,,,
CSF14314,78103514184,1/4 X 3-1/4 FLAT PHIL HD CONCRETE ANCHORING,100,33.1313,0.3313,,,,,,,
CSF14314J,78103554184,1/4 X 3-1/4 FLAT PHIL HD CONCRETE ANCHORING,100,34.1663,0.3417,,,,,,,
CSF144,78103514185,1/4 X 4 FLT HD TAPCON W/DRILL,100,46.0913,0.4609,,,,,,,
CSF144J,78103554185,1/4 X 4 FLT HD TAPCON W/DRILL IN JAR,100,47.115,0.4712,,,,,,,
CSF145,78103514186,1/4 X 5 FLT HD TAPCON W/DRILL,100,60.3225,0.6032,,,,,,,
CSF316114,78103514170,3/16 X 1-1/4 FLAT TAP-CON SCRW W/DRIL,100,11.07,0.1107,,,,,,,
CSF316114J,78103554170,3/16 X 1-1/4 FLAT TAP-CON W/DRILL IN JAR,100,11.4975,0.115,,,,,,,
CSF316134,78103514171,3/16 X 1-3/4 FALT TAP-CON W/DRIL,100,12.2063,0.1221,,,,,,,
CSF316134J,78103554171,3/16 X 1-3/4 FLAT TAP-CON W/DRIL IN JAR,100,12.6225,0.1262,,,,,,,
CSF316214,78103514172,3/16 X 2-1/4 FLAT PHIL TAPCON W/DRIL,100,17.3925,0.1739,,,,,,,
CSF316214J,78103554172,3/16 X 2-1/4 FLAT PHIL TAPCON W/DRIL IN JA,100,17.82,0.1782,,,,,,,
CSF316234,78103514173,3/16 X 2-3/4 FLAT TAP-CON W/DRILL,100,19.2825,0.1928,,,,,,,
CSF316234J,78103554173,3/16 X 2-3/4 FLAT TAP-CON W/DRILL IN JAR,100,19.71,0.1971,,,,,,,
CSF316314,78103514174,3/16 X 3-1/4 FLT HD TAPCON W/DRIL,100,27.1013,0.271,,,,,,,
CSF316314J,78103554174,3/16 X 3-1/4 FLT HD TAPCON W/DRIL IN JAR,100,24.7388,0.2474,,,,,,,
CSF3164,78103514175,3/16 X 4 FLT HD TAPCON W/DRILL,100,28.7663,0.2877,,,,,,,
CSF3164J,78103554175,3/16 X 4 FLT HD TAPCON W/DRILL IN JAR,100,29.1938,0.2919,,,,,,,
CSH14114,78103514160,1/4 X 1-1/4 HEX WSH TAP-CON W/DRIL,100,9.6105,0.0961,,,,,,,
CSH14114J,78103554160,1/4 X 1-1/4 HEX WSH TAP-CON W/DRIL IN JAR,100,9.6105,0.0961,,,,,,,
CSH14134,78103514161,1/4 X 1-3/4 HEX TAP-CON W/DRIL,100,23.1878,0.2319,,,,,,,
CSH14134J,78103554161,1/4 X 1-3/4 HEX TAP-CON W/DRIL IN JAR,100,23.1878,0.2319,,,,,,,
