,,,,,,,,,,,,,,,,,
"Ordering
Number",Model No. Reference,Description,FX UL Rating,UPC Code,Master Ctn Qty,Pallet Qty,"E3
Opening Price - NEW","E3
Qty 1 - NEW","E3
Qty 2 - NEW",,,,,,,,
,,,,,,,,,,,,,,,,,
Smoke Alarms,,,,,,,,,,,,,,,,,
120V AC/DC,,,,,,,1-287,288-755,756 +,,,,,,,,
21010164,P3010L,"DC Photo Smoke, Ten Year Sealed, Living Area (Clam)",-,0 47871 10164 1,3,225, $22.03 , $21.77 , $21.51 ,,,,,,,,
21010161,P3010B,"DC Photo Smoke with Voice, Ten Year Sealed, Bedroom (Clam)",-,0 47871 10161 0,3,225, $26.43 , $26.12 , $25.82 ,,,,,,,,
21010167,P3010H,"DC Photo Smoke, Safety Light, Ten Year Sealed, Hallway (Clam)",-,0 47871 10167 2,3,225, $30.89 , $30.53 , $30.17 ,,,,,,,,
21008697,i9010,DC Ion Ten Year Sealed Lithium Battery Unit w/Hush - Boxed,-,0 47871 08697 9,6,864, $18.67 , $18.45 , $18.23 ,,,,,,,,
21027488,i1040,10 Year Sealed-In Battery-Powered Ionization Smoke Alarm with Hush,bulk,x,6,, $11.03 , $10.70 , $10.36 ,,,,,,,,
900-0136-003,i9010,DC Ion Ten Year Sealed Lithium Battery Unit w/Hush - Clamshell,-,0 47871 90136 4,3,333, $18.73 , $18.51 , $18.30 ,,,,,,,,
,,Bulk Pack,,,,,1-287,288-755,756 +,,,,,,,,
21010594,i9010,DC Ion Ten Year Sealed Lithium Battery Unit w/Hush - Bulk 36 pk,-,,36, , $633.92 , $626.55 , $619.17 ,,,,,,,,
Ten Year Sealed Battery Combination and Carbon Monoxide Alarms,,,,,,,1-287,288-755,756 +,,,,,,,,
21010071,P3010K-CO,"DC Photo Smoke/CO Combo, Intelligent, Ten Year Sealed (Box)",-,0 47871 10071 2 ,6,1008, $43.19 , $42.68 , $42.18 ,,,,,,,,
21010170,P3010K-CO,"DC Photo Smoke/CO Combo, Intelligent, Ten Year Sealed, Kitchen (Clam)",-,0 47871 10170 2,3,225, $43.19 , $42.68 , $42.18 ,,,,,,,,
21026065,P3010CU,"DC Photo Smoke/CO Combo, Intelligent, Ten Year Sealed, Voice (Clam)",-,0 47871 26065 2,3,225, $53.13 , $52.51 , $51.89 ,,,,,,,,
21010073,C3010,"DC CO, Ten Year Sealed (Box)",,0 47871 10073 6,6,1260, $35.25 , $34.84 , $34.43 ,,,,,,,,
21010075,C3010D,"DC CO, Digital, Ten Year Sealed (Box)",,0 47871 10075 0,6,1260, $44.06 , $43.55 , $43.04 ,,,,,,,,
21010045,C3010,"DC CO, Ten Year Sealed (Clam)",,0 47871 10045 3,3,333, $35.25 , $34.84 , $34.43 ,,,,,,,,
