"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,00459,459,"3 1/2"" MALLEABLE IRON STRAP",10,C,$556.60,"$1,113.20 ",,,,
780730,00460,460,"4"" MALLEABLE IRON STRAP",10,C,$986.70,"$1,973.40 ",,,,
780730,00461,461,"1/2"" MI CLAMP BACK",100,C,$34.79,$69.58 ,,,,
780730,00462,462,"3/4"" MI CLAMP BACK",100,C,$35.42,$70.84 ,,,,
780730,00463,463,"1"" MI CLAMP BACK",50,C,$58.19,$116.38 ,,,,
780730,00464,464,"1 1/4"" MI CLAMP BACK",50,C,$83.49,$166.98 ,,,,
780730,00465,465,"1 1/2"" MI CLMAP BACK",25,C,$106.06,$212.12 ,,,,
780730,00466,466,"2"" MI CLAMP BACK",20,C,$174.57,$349.14 ,,,,
780730,00467,467,"2 1/2"" MI CLAMP BACK",20,C,$314.99,$629.98 ,,,,
780730,00468,468,"3"" MI CLAMP BACK",20,C,$495.88,$991.76 ,,,,
780730,00469,469,"3 1/2"" MI CLAMP BACK",10,C,$666.50,"$1,333.00 ",,,,
780730,00470,470,"4"" MI CLAMP BACK",10,C,$910.80,"$1,821.60 ",,,,
780730,10501,501,"1/2"" RIGID PLASTIC BUSHING",100,C,$4.00,$8.00 ,,,,
780730,10502,502,"3/4"" RIGID PLASTIC BUSHING",100,C,$5.94,$11.88 ,,,,
780730,10503,503,"1"" RIGID PLASTIC BUSHING",100,C,$8.64,$17.28 ,,,,
780730,10504,504,"1 1/4"" RIGID PLASTIC BUSHING",50,C,$12.69,$25.38 ,,,,
780730,10505,505,"1 1/2"" RIGID PLASTIC BUSHING",50,C,$15.12,$30.24 ,,,,
780730,10506,506,"2"" RIGID PLASTIC BUSHING",50,C,$27.00,$54.00 ,,,,
780730,10507,507,"2 1/2"" RIGID PLASTIC BUSHING",25,C,$43.20,$86.40 ,,,,
780730,10508,508,"3"" RIGID PLASTIC BUSHING",25,C,$49.68,$99.36 ,,,,
780730,10509,509,"3 1/2"" RIGID PLASTIC BUSHING",20,C,$70.20,$140.40 ,,,,
780730,10510,510,"4"" RIGID PLASTIC BUSHING",20,C,$72.36,$144.72 ,,,,
780730,10511,511,"5"" RIGID PLASTIC BUSHING",10,C,$378.00,$756.00 ,,,,
780730,10512,512,"6"" RIGID PLASTIC BUSHING",10,C,$615.60,"$1,231.20 ",,,,
780730,10513,513,"1/2"" EMT PLASTIC BUSHING",100,C,$4.05,$8.10 ,,,,
780730,10514,514,"3/4"" EMT PLASTIC BUSHING",100,C,$6.21,$12.42 ,,,,
