"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,10883,883,"3-1/2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",6,C,"$7,749.00","$15,498.00 ",,,,
780730,10884,884,"4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",5,C,"$9,900.00","$19,800.00 ",,,,
780730,10885,885,"5"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",2,C,"$21,120.00","$42,240.00 ",,,,
780730,10886,886,"6"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",2,C,"$25,520.00","$51,040.00 ",,,,
780730,10887,887,"1/2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",50/250,C,$120.00,$240.00 ,,,,
780730,10888,888,"3/4"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",50/250,C,$175.00,$350.00 ,,,,
780730,10889,889,"1"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",50,C,$255.00,$510.00 ,,,,
780730,10890,890,"1-1/4"" M.I SET SCREW CONNECTOR THREADLESS CONDUIT",25,C,$395.00,$790.00 ,,,,
780730,10891,891,"1-1/2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",25,C,$565.00,"$1,130.00 ",,,,
780730,10892,892,"2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",20,C,"$1,150.00","$2,300.00 ",,,,
780730,10893,893,"2-1/2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",15,C,"$3,000.00","$6,000.00 ",,,,
780730,10894,894,"3"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",15,C,"$4,100.00","$8,200.00 ",,,,
780730,10895,895,"3-1/2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",10,C,"$5,200.00","$10,400.00 ",,,,
780730,10896,896,"4"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",10,C,"$7,500.00","$15,000.00 ",,,,
780730,10897,897,"5"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",3,C,"$12,000.00","$24,000.00 ",,,,
780730,10898,898,"6"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT",2,C,"$17,000.00","$34,000.00 ",,,,
780730,10900,900,"1/2"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",50/250,C,$135.00,$270.00 ,,,,
780730,10901,901,"3/4"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",25/125,C,$210.00,$420.00 ,,,,
780730,10902,902,"1"" M. I. SET SCREW COUPLING THREADLESS CONDUIT",25,C,$360.00,$720.00 ,,,,
780730,10903,903,"1-1/4"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",25,C,$524.00,"$1,048.00 ",,,,
780730,10904,904,"1-1/2"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",10,C,$605.00,"$1,210.00 ",,,,
780730,10905,905,"2"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",10,C,"$1,550.00","$3,100.00 ",,,,
780730,10906,906,"2-1/2"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",10,C,"$5,625.00","$11,250.00 ",,,,
780730,10907,907,"3"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",5,C,"$6,040.00","$12,080.00 ",,,,
780730,10908,908,"3-1/2"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",5,C,"$8,660.00","$17,320.00 ",,,,
780730,10909,909,"4"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",5,C,"$9,840.00","$19,680.00 ",,,,
780730,10910,910,"5"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",3,C,"$15,000.00","$30,000.00 ",,,,
780730,10911,911,"6"" M.I. SET SCREW COUPLING THREADLESS CONDUIT",2,C,"$17,400.00","$34,800.00 ",,,,
780730,10912,912,"1/2"" MALLEABLE IRON GROUNDING BUSHING",50/500,C,$235.00,$470.00 ,,,,
780730,10913,913,"3/4"" MALLEABLE IRON GROUNDING BUSHING",50/500,C,$239.00,$478.00 ,,,,
780730,10914,914,"1"" MALLEABLE IRON GROUNDING  BUSHING",25/250,C,$270.00,$540.00 ,,,,
780730,10915,915,"1-1/4"" MALLEABLE IRON GROUNDING BUSSHING",20/200,C,$305.00,$610.00 ,,,,
780730,10916,916,"1-1/2"" MALLEABLE IRON GROUNDING BUSHING",20/200,C,$370.00,$740.00 ,,,,
780730,10917,917,"2"" MALLEABLE IRON  GROUNDING BUSHING",10/100,C,$400.00,$800.00 ,,,,
780730,10918,918,"2-1/2"" MALLEABLE IRON GROUNDING BUSHING",25,C,$668.00,"$1,336.00 ",,,,
780730,10919,919,"3"" MALLEABLE IRON GROUNDING BUSHING",25,C,$756.00,"$1,512.00 ",,,,
780730,10920,920,"3-1/2"" MALLEABLE IRON GROUNDING BUSHING",25,C,"$1,000.00","$2,000.00 ",,,,
780730,10921,921,"4"" MALLEABLE IRON GROUNDING BUSHING",25,C,"$1,050.00","$2,100.00 ",,,,
780730,10922,922,"5"" MALLEABLE IRON GROUNDING BUSHING",5,C,"$2,425.00","$4,850.00 ",,,,
780730,10923,923,"6"" MALLEABLE IRON GROUNDING BUSHING",5,C,"$3,040.00","$6,080.00 ",,,,
780730,10651,1651,1/4-20 STEEL BEAM CLAMP,50,C,$48.64,$97.28 ,,,,
780730,00652,1652,3/8-16 STEEL BEAM CLAMP,50,C,$156.30,$312.60 ,,,,
780730,00653,1653,1/4-20 MALLEABLE IRON BEAM CLAMP,50,C,$47.66,$95.32 ,,,,
780730,00655,1655,3/8-16 MALLEABLE BEAM CLAMP,25,C,$175.56,$351.12 ,,,,
780730,00656,1656,1/2-13 MALLEABLE BEAM CLAMP,20,C,$376.20,$752.40 ,,,,
780730,10661,1661,"1 1/2"" X  2/3/4""  NAIL PLATE",100,C,$11.78,$23.56 ,0.28,,,
780730,00662,1662,"1 1/2"" X  5"" NAIL PLATE",100,C,$20.78,$41.56 ,0.56,0.48,,
780730,99722,100600,"1"" x 600' REEL POLY ROPE BREAKING STRENGHT 12,828 LBS",1,E,$315.00,$630.00 ,,,,
780730,12120,12120,"1/2"" X 1200' POLY ROPE",1,E,$183.00,$366.00 ,,,,
780730,12125,12125,"1/2"" X 3,000' REEL 1250 LBS BREAKING STRENGTH MEASURE/PULLING TAPE ",1,E,$128.56,$257.12 ,,,,
780730,12250,12250,"1/2"" X 250' POLY ROPE",1,E,$36.58,$73.16 ,,,,
780730,12600,12600,"1/2"" X600' POLY ROPE",1,E,$91.24,$182.48 ,,,,
780730,14120,14120,"1/4"" X1200' POLY ROPE",1,E,$52.61,$105.22 ,,,,
780730,14250,14250,1/4' X 250' POLY ROPE,1,E,$11.15,$22.30 ,,,,
780730,14600,14600,"1/4"" X 600' POLY ROPE",1,E,$28.00,$56.00 ,,,,
780730,10004,2-40,RECESS LIGHT BAR HANGER,50,C,$330.61,$661.22 ,,,,
780730,26500,26500,6500' PULL-LINE 210LBS,1,E,$39.52,$79.04 ,,,,
780730,10001,1-75,"T-BAR HANGER 1 1/2"" OFFSET",50,C,$281.00,$562.00 ,5.96,6.64,,
780730,10002,3-80,T-BAR HANGER 2 1/8 OFFSET,50,C,$281.00,$562.00 ,,,,
780730,31612,31612,3/16 X1200' POLY ROPE,1,E,$37.07,$74.14 ,,,,
780730,31630,31630,CONDUIT MEASURING TAPE 3000',1,E,$40.00,$80.00 ,,,,
780730,31636,31636,"3/16"" X 3600' POLY ROPE",1,E,$88.96,$177.92 ,,,,
780730,31660,31660,"3/16"" X 600' POLY ROPE",1,E,$14.84,$29.68 ,,,,
780730,34150,34150,"3/4"" X 1500' PULL TAPE 2500LBS",1,E,$105.00,$210.00 ,,,,
780730,34250,34250,"3/4"" X 3000' PULL TAPE  2500LBS",1,E,$180.00,$360.00 ,,,,
780730,99709,34300,"3/4"" x 300'  REEL POLY ROPE",1,E,$96.00,$192.00 ,,,,
780730,34500,34500,"3/4"" X 500' PULL TAPE 2500LBS",1,E,$78.06,$156.12 ,,,,
780730,34600,34600,"3/4"" X 600' POLY ROPE",1,E,$191.69,$383.38 ,,,,
780730,38120,38120,"3/8"" X 1200' POLY ROPE",1,E,$112.49,$224.98 ,,,,
780730,38250,38250,3/8 X250' POLY ROPE,1,E,$21.04,$42.08 ,,,,
780730,38600,38600,3/8 X 600' POLY ROPE,1,E,$50.50,$101.00 ,,,,
780730,51612,51612,5/16 X1200' POLY ROPE,1,E,$77.34,$154.68 ,,,,
780730,51660,51660,5/16 X 600' POLY ROPE,1,E,$38.68,$77.36 ,,,,
780730,52200,52200,2200' PULL-LINE 500 LB BREAKING STRENGTH,1,E,$41.85,$83.70 ,68.65,,,
780730,58180,58180,5/8 X 3000' MULETAPE 1800LBS,1,E,$164.00,$328.00 ,,,,
780730,58600,58600,5/8 X600' POLY ROPE,1,E,$104.50,$209.00 ,,,,
780730,92200,92200,#9 TWINE 2200' FISH LINE,1,E,$9.72,$19.44 ,,,,
780730,01050,105S,12 STAINLESS STEEL JACK CHAIN 100' BOX /WORK LOAD 29 LBS,1,E,$60.00,$120.00 ,,,,
780730,10035,2-29A,BOX SUPPORT,100/500,C,$25.54,$51.08 ,,,,
780730,00229,2-29B,BOX SUPPORT,50/500,C,$30.85,$61.70 ,,,,
780730,18158,310G,"1/2"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$173.60,$347.20 ,,,,
780730,18160,311G,"3/4"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$224.00,$448.00 ,,,,
780730,18161,312G,"1"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$288.40,$576.80 ,,,,
780730,18162,313G,"1 1/4"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$333.18,$666.36 ,,,,
780730,18164,314G,"1 1/2"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$364.00,$728.00 ,,,,
780730,18166,315G,"2"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$414.00,$828.00 ,,,,
780730,18167,316G,"2 1/2"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$574.00,"$1,148.00 ",,,,
780730,18168,317G,"3"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET ",100,C,$900.00,"$1,800.00 ",,,,
780730,18169,318G,"3 1/2"" 3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,$985.00,"$1,970.00 ",,,,
780730,18170,319G,"4""3PC KO SEAL WITH 1/16"" NEOPRENE GASKET",100,C,"$1,264.00","$2,528.00 ",,,,
780730,08000,352-EG,"1/4-20 TOP BEAM CLAMP 3/4"" FLANGE ZINC PLATED",100,C,$83.35,$166.70 ,,,,
780730,12353,353-EG,"3/8-16 TOP BEAM CLAMP 3/4""FLANGE ELECTRO -GALV",50,C,$95.26,$190.52 ,,,,
780730,12354,354-EG,3/8-16 TOP BEAM CLAMP 1 1/4 FLANGE ELECTRO -GALV,50,C,$166.70,$333.40 ,,,,
780730,12360,360-EG,"1/2-13 TOP BEAM CLAMP 3/4"" FLANGE ELECTRO -GALV",50,C,$168.00,$336.00 ,,,,
780730,12361,361-EG,"1/2_13 TOP BEAM CLAMP 1 1/4"" FLANGE ELECTRO -GALV",50,C,$200.00,$400.00 ,,,,
780730,10591,591A,TWO HOLE STRAP 6/3 RANGE,100/1000,C,$5.89,$11.78 ,,,,
780730,10592,592B,TWO HOLE STRAP 3/3,100/1000,C,$15.01,$30.02 ,,,,
780730,10593,593C,TWO HOLE STRAP 3-1/0,50/500,C,$16.22,$32.44 ,,,,
780730,10594,594D,TWO HOLE STRAP 3-4/0,50/500,C,$20.50,$41.00 ,,,,
780730,00641,641KO,"4 11/16  1/2"" KO BLANK COVER",50,C,$63.40,$126.80 ,,,,
780730,00642,642KO,"4"" SQ 1/2"" KO BLANK COVER",50,C,$42.00,$84.00 ,,,,
780730,16771,643-G,"4"" ROUND COVER  1 TOGGLE EMERGENCY GAS",50,C,$100.80 ,$201.60 ,,,,
780730,00643,643KO,"4"" OCT 1 /2""KO BLANK COVER",50,C,$35.28,$70.56 ,,,,
780730,16672,643-O,"4"" ROUND COVER  1 TOGGLE  EMERGENCY OIL",50,C,$100.80 ,$201.60 ,,,,
780730,16673,644-G,"4"" SQ BOX COVER 1 TOGGLE  EMERGENCY  GAS",50,C,$144.90 ,$289.80 ,,,,
780730,16774,644-O,"4"" SQ BOX COVER 1 TOGGLE  EMERGENCY OIL",50,C,$144.90 ,$289.80 ,,,,
780730,16775,645-G,"4"" SQ BOX COVER 2 TOGGLE EMERGENCY GAS",50,C,$144.90 ,$289.80 ,,,,
780730,16776,645-GWP,WALL PLATE 2 TOGGLE EMERGENCY GAS,50,C,$116.43 ,$232.86 ,,,,
780730,16777,645-O,"4"" SQ BOX COVER 2 TOGGLE EMERGENCY OIL",50,C,$144.90 ,$289.80 ,,,,
780730,16778,645-OWP,WALL PLATE 2 TOGGLE EMERGENCY OIL,50,C,$144.90,$289.80 ,,,,
780730,06710,671A,"1/2"" ALUMINUM CONDUIT BODY COVER",50,C,$58.00,$116.00 ,,,,
780730,16710,671S,"1/2"" STEEL CONDUIT BODY COVER",50,C,$37.57,$75.14 ,,,,
780730,06720,672A,"3/4"" ALUMINUM CONDUIT BODY COVER",50,C,$90.05,$180.10 ,,,,
780730,16720,672S,"3/4"" STEEL CONDUIT COVER",50,C,$43.73 ,$87.46 ,,,,
780730,06730,673A,"1"" ALUMINUM CONDUIT BODY COVER",20,C,$136.53,$273.06 ,,,,
780730,16730,673S,"1 "" STEEL CONDUIT BODY COVER",20,C,$95.12,$190.24 ,,,,
780730,06740,674A,"1 1/4""-1 1/2"" ALUMINUM CONDUIT BODY COVER",20,C,$180.85,$361.70 ,,,,
780730,16740,674S,"1 1/4""-1 1/2"" STEEL CONDUIT BODY COVER",20,C,$130.90,$261.80 ,,,,
780730,06750,675A,"2"" ALUMINUM CONDUIT BODY COVER",20,C,$306.38,$612.76 ,,,,
780730,16750,675S,"2 "" STEEL CONDUIT BODY COVER",20,C,$226.53,$453.06 ,,,,
780730,06760,676A,"2 1/2""-3""  ALUMINUM CONDUIT COVER",10,C,$475.61,$951.22 ,,,,
780730,16760,676S,"2 1/2""-3"" STEEL CONDUIT BODY COVER",10,C,$394.85,$789.70 ,,,,
780730,06770,677A,"3 1/2"" -4""  ALUMINUM CONDUIT BODY COVER",10,C,$624.88,"$1,249.76 ",,,,
780730,16770,677S,"3 1/2""-4"" STEEL CONDUIT BODY COVER",10,C,$569.71,"$1,139.42 ",,,,
780730,72113,683-G,HANDY BOX COVER EMERGENCY GAS,50,C,$108.35 ,$216.70 ,,,,
780730,72114,683-GWP,WALL PLATE 1 TOGGLE EMERGENCY GAS,50,C,$99.80,$199.60 ,,,,
780730,16779,683-O,HANDY BOX COVER EMERGENCY OIL,50,C,$108.35 ,$216.70 ,,,,
780730,16780,683-OWP,WALL PLATE 1 TOGGLE EMERGENCY OIL,50,C,$99.80,$199.60 ,,,,
780730,18002,702-SR,"1/2"" RAISED 4"" SQ TO ROUND PLASTER RING",50,C,$65.68,$131.36 ,,,,
780730,18002,703-R,"5/8"" RAISED 4"" ROUND/OCT  PLASTER RING",50,C,$60.00,$120.00 ,,,,
780730,18003,703-SR,"5/8"" RAISED 4"" SQ TO ROUND PLASTER RING",50,C,$66.00,$132.00 ,,,,
780730,18004,704-SR,"3/4"" RAISED 4"" SQ TO ROUND PLASTER RING",50,C,$73.13,$146.26 ,,,,
780730,18005,705-SR,"1"" RAISED 4"" SQ TO ROUND PLASTER RING",25,C,$111.15,$222.30 ,,,,
780730,18006,706-SR,"1-1/4"" RAISED 4""SQ TO ROUND PLASTER RING",25,C,$115.97,$231.94 ,,,,
780730,10010,7-26A,"27"" FLAT BAR",50,C,$250.00,$500.00 ,,,,
780730,72100,72C32,4 11/16 SIGLE RECP  1 13/32 DIA COVER,25,C,$300.00,$600.00 ,,,,
780730,72101,72C35,4 11/16 1 TOGGLE SW COVER,25,C,$300.00,$600.00 ,,,,
780730,72102,72C36,4 11/16 2 TOGGLE SW COVER,25,C,$300.00,$600.00 ,,,,
780730,72103,72C38,4 11/16 1 DUPLEX RECT COVER,25,C,$300.00,$600.00 ,,,,
780730,72104,72C39,4 11/16 2 DUPLEX RECPT COVER,25,C,$300.00,$600.00 ,,,,
780730,72105,72C41,4 11/16 1 TOGGLE 1 DUPLEX,25,C,$300.00,$600.00 ,,,,
780730,72106,72C42,"4 11/16 20 AMP  1-19/32 "" DIA COVER",25,C,$300.00,$600.00 ,,,,
780730,72107,72C44,"4 11/16 30-50 AMP  2-9/64"" DIA COVER",25,C,$300.00,$600.00 ,,,,
780730,72108,72C47,4 11/16 1 GFCICOVER,25,C,$300.00,$600.00 ,,,,
780730,72109,72C48,4 11/16 1 GFCI/1 DECORA,25,C,$300.00,$600.00 ,,,,
780730,72110,72C49,4 11/16 2 GFC1 COVER,25,C,$300.00,$600.00 ,,,,
780730,72111,72C50,"4 11/16 30-60 AMP 2 7/16"" DIA RECPT COVER",25,C,$300.00,$600.00 ,,,,
780730,72112,72C51,4 11/16 1 DUPLEX 1 GFCI COVER,25,C,$300.00,$600.00 ,,,,
780730,80007,BMB-16,"BETWEEN STUD BOX MOUNTING BRACKET 16"" STUD SPACING",25,C,$215.00,$430.00 ,,,,
780730,16781,BMB23,"BOX MOUNTING BRACKET 4"" & 4 11/16 BOXES",100,C,$93.17 ,$186.34 ,,,,
780730,00096,C250,"2 1/2"" THREADED C  ALUMINUM BODY",1,E,$45.92,$91.84 ,,,,
780730,00097,C300,"3"" THREADED C  ALUMINUM  BODY",1,E,$57.67,$115.34 ,,,,
780730,00098,C350,"3 1/2"" THREADED C   ALUMINUM BODY",1,E,$88.43,$176.86 ,,,,
780730,00099,C400,"4"" THREADED C ALUMINUM BODY",1,E,$91.84,$183.68 ,,,,
780730,80008,CE250,"2-1/2"" ALUMINIUM C SET SCREW",1,E,$45.92,$91.84 ,,,,
780730,80009,CE300,"3"" ALUMINIUM C SET SCREW",1,E,$57.67,$115.34 ,,,,
780730,80010,CE350,"3-1/2"" ALUMINIUM C SET SCREW",1,E,$88.05,$176.10 ,,,,
780730,80011,CE400,"4"" ALUMINIUM  C SET SCREW",1,E,$91.84,$183.68 ,,,,
780730,99710,CHM-50,1/2'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,25/250,C,$231.53,$463.06 ,,,,
780730,99711,CHM-75,3/4'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,25/250,C,$275.63,$551.26 ,,,,
780730,99712,CHM-100,1'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,10/100,C,$337.37,$674.74 ,,,,
780730,99713,CHM-125,1-1/4'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,10/100,C,$518.18,"$1,036.36 ",,,,
780730,99714,CHM-150,1-1/2'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,5/50,C,$540.23,"$1,080.46 ",,,,
780730,99715,CHM-200,2'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,20,C,$799.05,"$1,598.10 ",,,,
780730,99716,CHM-250,2-1/2'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,10,C,"$1,231.50","$2,463.00 ",,,,
780730,99717,CHM-300,3'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,2,C,"$2,271.15","$4,542.30 ",,,,
780730,99718,CHM-350,3-1/2'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,1,C,"$2,646.00","$5,292.00 ",,,,
780730,99719,CHM-400,4'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,1,C,"$2,866.50","$5,733.00 ",,,,
780730,99720,CHM-500,5'' MALLEABLE IRON WATERTIGHT CONDUIT HUB,1,C,"$8,488.92","$16,977.84 ",,,,
780730,99721,CR-300,"3"" TWO HOLE POLE RISER STRAP",10,C,$515.97,"$1,031.94 ",,,,
780730,00400,CR-400,"4"" CONDUIT RISER TWO HOLE STRAPS",10,C,$664.88,"$1,329.76 ",,,,
780730,00500,CR-500,"5"" CONDUIT RISER TWO HOLE STRAPS",10,C,"$1,388.90","$2,777.80 ",,,,
780730,00600,CR-600,"6"" CONDUIT RISER TWO HOLE STRAPS",10,C,"$1,546.55","$3,093.10 ",,,,
780730,06782,CS6,CABLE SUPPORT  METAL OR WOOD STUDS,100,C,$44.47,$88.94 ,,,,
780730,00091,DC75,"3/4"" C COMBINATION ALUMINUM WITH C &G",10,E,$3.94,$7.88 ,,,,
780730,00092,DC100,"1"" COMBO C   ALUMINUM  BODY WITH C & G",5,E,$6.20,$12.40 ,,,,
780730,00093,DC125,"1 1/4"" COMBO C  ALUMINUM BODY WITH C& G",2,E,$9.84,$19.68 ,,,,
780730,00094,DC150,"1 1/2"" COMBO C ALUMINUM BODY WITH C& G",2,E,$11.29,$22.58 ,,,,
780730,00095,DC200,"2"" COMBO C ALUMINUM BODY WITH C & G",1,E,$17.46,$34.92 ,,,,
780730,00090,DC50,"1 /2"" COMBO C ALUMINUM BODY WITH C& G",10,E,$2.78,$5.56 ,,,,
780730,00052,DLB100,"1"" LB COMBO ALUMINUM BODY WITH C & G",5,E,$4.74,$9.48 ,,,,
780730,00053,DLB125,"1 1/4"" LB COMBO ALUMINUM BODY WITH C & G",2,E,$7.28,$14.56 ,,,,
780730,00054,DLB150,"1 1/2"" LB COMBO ALUMINUM BODY WITH C &G",2,E,$8.85,$17.70 ,,,,
780730,00055,DLB200,"2"" LB COMBO ALUMINUM BODY WITH C & G",1,E,$14.93,$29.86 ,,,,
780730,00050,DLB50,"1 /2"" LB COMBO ALUMINUM BODY WITH C &G",10,E,$2.34,$4.68 ,,,,
780730,00051,DLB75,"3/4"" LB COMBO ALUMINUM BODY WITH C  & G",10,E,$3.55,$7.10 ,,,,
780730,00062,DLL100,"1"" LL COMBO ALUMINUM BODY WITH C & G",5,E,$4.74,$9.48 ,,,,
780730,00063,DLL125,"1 1/4"" LL COMBO ALUMINUM BODY WITH  C & G",2,E,$7.28,$14.56 ,,,,
780730,00064,DLL150,"1 1/2"" LL COMBO ALUMINUM BODY WITH  C & G",2,E,$8.73,$17.46 ,,,,
780730,00065,DLL200,"2"" LL COMBO ALUMINUM BODY WITH C & G",1,E,$14.93,$29.86 ,,,,
780730,00060,DLL50,"1 /2"" LL COMBO ALUMINUM BODY WITH C & G",10,E,$2.34,$4.68 ,,,,
780730,00061,DLL75,"3/4"" LL COMBO ALUMINUM BODY WITH C & G",10,E,$3.55,$7.10 ,,,,
780730,00072,DLR100,"1 "" LR COMBO ALUMINUM BODY WITH C & G",5,E,$4.74,$9.48 ,,,,
780730,00073,DLR125,"1 1/4"" LR COMBO ALUMINUM BODY WITH C & G",2,E,$7.28,$14.56 ,,,,
780730,00074,DLR150,"1 1/2"" LR COMBO ALUMINUM BODY WITH C & G",2,E,$8.73,$17.46 ,,,,
780730,00075,DLR200,"2"" LR COMBO ALUMINUM BODY WITH C & G",1,E,$14.93,$29.86 ,,,,
780730,00070,DLR50,"1/2"" LR COMBO ALUMINUM BODY WITH C & G",10,E,$2.34,$4.68 ,,,,
780730,00071,DLR75,"3/4"" LR COMBO ALUMINUM BODY WITH C & G",10,E,$3.55,$7.10 ,,,,
780730,20001,DS1,1 LB DUCT SEAL,50,E,$1.90,$3.80 ,,,,
780730,20005,DS5,5 LB DUCT SEAL,10,E,$7.72,$15.44 ,,,,
780730,00082,DT100,"1""        T  COMBO  ALUMINUM BODY WITH C & G",5,E,$6.20,$12.40 ,,,,
780730,00083,DT125,"1 1/4"" T  COMBO  ALUMINUM  COMBO WITH C & G",2,E,$9.84,$19.68 ,,,,
780730,00084,DT150,"1 1/2"" T  COMBO ALUMINUM BODY WITH C & G",2,E,$11.29,$22.58 ,,,,
780730,00085,DT200,"2""    T COMBO ALUMINUM BODY WITH C & G",1,E,$17.46,$34.92 ,,,,
780730,00080,DT50,"1/2""  T   COMBO ALUMINUM BODY WITH C & G",10,E,$2.78,$5.56 ,,,,
780730,00081,DT75,"3/4""  T COMBO ALUMINUM BODY WITH C & G",10,E,$3.94,$7.88 ,,,,
780730,20000,ES200S,"2"" DIA SHAKE N' SEAL ELECTRICAL SPLICE KIT UP TO 600v",30,E,$15.89,$31.78 ,,,,
780730,20001,ES200SV,"2"" DIA SHAKE N' SEAL ELECTRICAL SPLICE KIT WITH MOLD  UP TO 600v",25,E,$17.40,$34.80 ,,,,
780730,30010,FC300,1 YD LENGTHS WORK LOAD 50 LBS. FLOURESCENT FIXTURE CHAIN,100,C,$75.72,$151.44 ,,,,
780730,00056,LB250,"2  1/2"" LB THREADED  ALUMINUM BODY",1,E,$42.49,$84.98 ,,,,
780730,00057,LB300,"3"" LB  LB THREADED  ALUMINUM BODY",1,E,$53.28,$106.56 ,,,,
780730,00058,LB350,"3 1/2""  LB  THREADED   ALUMINUM BODY",1,E,$64.16,$128.32 ,,,,
780730,00059,LB400,"4"" LB THREADED ALUMINUM BODY",1,E,$68.77,$137.54 ,,,,
780730,80012,LBE250,"2-1/2"" ALUMINUM LB SET SCREW",1,E,$42.49,$84.98 ,,,,
780730,80013,LBE300,"3"" ALUMINUM LB SET SCREW",1,E,$53.28,$106.56 ,,,,
780730,80014,LBE350,"3-1/2"" ALUMINUM LB SET SCREW",1,E,$67.45,$134.90 ,,,,
780730,80015,LBE400,"4"" ALUMINUM LB SET SCREW",1,E,$68.77,$137.54 ,,,,
780730,00066,LL250,"2 1/2"" LL THREADED ALUMINUM BODY",1,E,$42.49,$84.98 ,,,,
780730,00067,LL300,"3"" LL THREADED ALUMINUM BODY",1,E,$53.28,$106.56 ,,,,
780730,00068,LL350,"3 1/2"" LL THREADED ALUMINUM BODY",1,E,$64.16,$128.32 ,,,,
780730,00069,LL400,"4"" LL THREADED ALUMINUM BODY",1,E,$68.77,$137.54 ,,,,
780730,80016,LLE250,"2-1/2"" ALUMINUM LL SET SCREW",1,E,$42.49,$84.98 ,,,,
780730,80017,LLE300,"3"" ALUMINIUM LL SET SCREW",1,E,$53.28,$106.56 ,,,,
780730,80018,LLE350,"3-1/2"" ALUMINUM LL SET SCREW",1,E,$64.16,$128.32 ,,,,
780730,80019,LLE400,"4"" ALUMINUM LL SET SCREW",1,E,$68.77,$137.54 ,,,,
780730,00076,LR250, 2 1/2 LR THREADED ALUMINUM BODY,1,E,$42.49,$84.98 ,,,,
780730,00077,LR300,"3"" LR THREADED ALUMINUM BODY",1,E,$53.28,$106.56 ,,,,
780730,00078,LR350,"3 1/2"" LR THREADED ALUMINUM BODY",1,E,$64.16,$128.32 ,,,,
780730,00079,LR400,"4"" LR THREADED ALUMINUM BODY",1,E,$68.77,$137.54 ,,,,
780730,80020,LRE250,"2-1/2"" ALUMINUM LR SET SCREW",1,E,$42.49,$84.98 ,,,,
780730,80021,LRE300,"3"" ALUMINUM LR SET SCREW",1,E,$53.28,$106.56 ,,,,
780730,80022,LRE350,"3-1/2"" ALUMINUM LR SET SCREW",1,E,$64.16,$128.32 ,,,,
780730,80023,LRE400,"4"" ALUMINUM LR SET SCREW",1,E,$68.77,$137.54 ,,,,
780730,80024,M45-100,"1"" MALLEABLE IRON 45 LIQUIDTIGHT CONNECTOR",5/50,C,$617.15,"$1,234.30 ",,,,
780730,80025,M45-125,"1-1/4"" MALLEABLE IRON 45 LIQUIDTIGHT CONNECTOR",4/40,C,"$1,142.69","$2,285.38 ",,,,
780730,80026,M45-150,"1-1/2"" MALLEABLE IRON 45 LIQUIDTIGHT CONNECTOR",3/30,C,"$1,300.04","$2,600.08 ",,,,
780730,80027,M45-200,"2"" MALLEABLE IRON 45 LIQUIDTIGHT CONNECTOR",2/20,C,"$1,679.95","$3,359.90 ",,,,
