Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
C5268-4,S,75,Never,051712100199,HU,50.00%, $12.37 , $6.1850 ,$6.19 ,$6.19 ,BLK (B008-4777-3S1),,,,,,,,,,
C5268-5,N,75,Never,051712632041,HU,50.00%, $13.14 , $6.5700 ,$6.57 ,$6.57 ,BLK (B008-4777-4S 1),,,,,,,,,,
CCSK-45,S,1,Always,051712630160,AB,50.00%," $1,169.02 ", $584.5100 ,$584.51 ,$584.51 ,CLASS CC FUSE SERV KIT,,,,,,,,,,
CHSF-100,N,5,Never,051712534611,T4,50.00%, $72.55 , $36.2750 ,$36.28 ,$36.28 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-125,N,1,Never,051712534628,T4,50.00%, $106.65 , $53.3250 ,$53.33 ,$53.33 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-150,N,1,Never,051712534635,T4,50.00%, $106.65 , $53.3250 ,$53.33 ,$53.33 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-175,N,1,Never,051712534642,T4,50.00%, $106.65 , $53.3250 ,$53.33 ,$53.33 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-200,N,1,Never,051712534659,T4,50.00%, $108.72 , $54.3600 ,$54.36 ,$54.36 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-225,N,1,Never,051712534666,T4,50.00%, $147.15 , $73.5750 ,$73.58 ,$73.58 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-250,N,1,Never,051712534673,T4,50.00%, $147.15 , $73.5750 ,$73.58 ,$73.58 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-300,N,1,Never,051712534680,T4,50.00%, $147.15 , $73.5750 ,$73.58 ,$73.58 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-350,N,1,Never,051712534697,T4,50.00%, $147.15 , $73.5750 ,$73.58 ,$73.58 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-400,N,1,Never,051712534703,T4,50.00%, $147.15 , $73.5750 ,$73.58 ,$73.58 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-50,N,5,Never,051712534574,T4,50.00%, $66.85 , $33.4250 ,$33.43 ,$33.43 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-60,N,5,Never,051712534581,T4,50.00%, $66.85 , $33.4250 ,$33.43 ,$33.43 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-70,N,5,Never,051712534598,T4,50.00%, $72.55 , $36.2750 ,$36.28 ,$36.28 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
CHSF-80,N,5,Never,051712534604,T4,50.00%, $72.55 , $36.2750 ,$36.28 ,$36.28 ,COMPACT HIGH SPEED FUSE,,,,,,,,,,
DRA-2,N,10,Never,051712141710,AB,50.00%, $3.80 , $1.9000 ,$1.90 ,$1.90 ,BUSS RAIL ADAPTER,,,,,,,,,,
EBS.5,N,1,Never,782634707394,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS1.5,N,10,Never,782634707530,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR12,N,10,Never,782634507291,DX,65.00%, $13.67 , $4.7845 ,$4.78 ,$4.78 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR2.8,N,10,Never,782634507178,DX,65.00%, $19.26 , $6.7410 ,$6.74 ,$6.74 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR400,S,1,Never,782634507536,DX,65.00%, $172.52 , $60.3820 ,$60.38 ,$60.38 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.125,N,10,Always,782634506959,DX,65.00%, $19.99 , $6.9965 ,$7.00 ,$7.00 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.2,N,10,Never,782634507024,DX,65.00%, $18.39 , $6.4365 ,$6.44 ,$6.44 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR150,S,1,Never,782634507468,DX,65.00%, $95.58 , $33.4530 ,$33.45 ,$33.45 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR20,S,10,Never,782634507321,DX,65.00%, $10.02 , $3.5070 ,$3.51 ,$3.51 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR40,S,10,Never,782634507369,DX,65.00%, $16.58 , $5.8030 ,$5.80 ,$5.80 ,"UL CLASS RK-5 TIME DELAY,",11.62,11.88,,,,,HD 24.00/2 pk,,,
ECSR.1,N,10,Never,782634508007,DY,65.00%, $34.87 , $12.2045 ,$12.20 ,$12.20 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECSR.3,N,10,Always,782634508595,DY,65.00%, $36.26 , $12.6910 ,$12.69 ,$12.69 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECSR.8,N,10,Always,782634508076,DY,65.00%, $44.52 , $15.5820 ,$15.58 ,$15.58 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECSR.2,N,10,Always,782634508021,DY,65.00%, $36.26 , $12.6910 ,$12.69 ,$12.69 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECSR175,S,1,Never,782634508472,DY,65.00%, $158.49 , $55.4715 ,$55.47 ,$55.47 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECSR50,S,10,Never,782634508380,DY,65.00%, $36.81 , $12.8835 ,$12.88 ,$12.88 ,UL CLASS RK-5 TIME DELAY,,,,,,,,,,
EDCC4,S,10,Never,782634808152,EX,50.00%, $31.80 , $15.9000 ,$15.90 ,$15.90 ,600V CLASS CC TIME-DELAY,,,,,,,,,,
EDCC4.5,N,10,Never,782634808169,EX,50.00%, $31.80 , $15.9000 ,$15.90 ,$15.90 ,600V CLASS CC TIME-DELAY,,,,,,,,,,
DRA-1,N,10,Never,051712141703,AB,50.00%, $3.80 , $1.9000 ,$1.90 ,$1.90 ,DIN-RAIL ADAPTER,,,,,,,,,,
