Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
HCTR.5,S,10,Never,782634802037,BN,68.00%, $31.08 , $9.9456 ,$9.95 ,$9.95 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR.6,N,10,Never,782634802044,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR.75,S,10,Never,782634802051,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR.8,N,10,Never,782634802068,BN,68.00%, $33.68 , $10.7776 ,$10.78 ,$10.78 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1,S,10,Never,782634802075,BN,68.00%, $30.43 , $9.7376 ,$9.74 ,$9.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.125,N,10,Never,782634802082,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.25,S,10,Never,782634802099,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.3,N,10,Never,782634802105,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.4,N,10,Never,782634802112,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.5,S,10,Never,782634802129,BN,68.00%, $31.12 , $9.9584 ,$9.96 ,$9.96 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.6,N,10,Never,782634802136,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR1.8,N,10,Never,782634802143,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR10,S,10,Never,782634802297,BN,68.00%, $32.78 , $10.4896 ,$10.49 ,$10.49 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR12,N,10,Never,782634838982,BN,68.00%, $30.93 , $9.8976 ,$9.90 ,$9.90 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR15,S,10,Never,782634838890,BN,68.00%, $30.93 , $9.8976 ,$9.90 ,$9.90 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR2,S,10,Never,782634802150,BN,68.00%, $31.12 , $9.9584 ,$9.96 ,$9.96 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR2.25,N,10,Never,782634802167,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR2.5,S,10,Never,782634802174,BN,68.00%, $34.10 , $10.9120 ,$10.91 ,$10.91 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR2.8,N,10,Never,782634802181,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR20,S,10,Never,782634838999,BN,68.00%, $32.00 , $10.2400 ,$10.24 ,$10.24 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR25,S,10,Never,782634839002,BN,68.00%, $32.00 , $10.2400 ,$10.24 ,$10.24 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR3.2,N,10,Never,782634802204,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR3.5,S,10,Never,782634802211,BN,68.00%, $37.73 , $12.0736 ,$12.07 ,$12.07 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR30,S,10,Never,782634839019,BN,68.00%, $32.00 , $10.2400 ,$10.24 ,$10.24 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR4,S,10,Never,782634802228,BN,68.00%, $32.78 , $10.4896 ,$10.49 ,$10.49 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR5,S,10,Never,782634802235,BN,68.00%, $31.12 , $9.9584 ,$9.96 ,$9.96 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR6,S,10,Never,782634802242,BN,68.00%, $34.10 , $10.9120 ,$10.91 ,$10.91 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR6.25,N,10,Never,782634802259,BN,68.00%, $39.81 , $12.7392 ,$12.74 ,$12.74 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HCTR9,N,10,Never,782634802280,BN,68.00%, $38.17 , $12.2144 ,$12.21 ,$12.21 ,UL CLASS CC TIME DELAY,,,,,,,,,,
HEB-AA,S,10,Never,051712718202,J1,50.00%, $32.46 , $16.2300 ,$16.23 ,$16.23 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AB,S,10,Never,051712718219,J1,50.00%, $33.95 , $16.9750 ,$16.98 ,$16.98 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AC,N,10,Never,051712718226,J1,50.00%, $41.29 , $20.6450 ,$20.65 ,$20.65 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AD,N,10,Never,051712718233,J1,50.00%, $40.43 , $20.2150 ,$20.22 ,$20.22 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AJ,N,10,Never,051712167543,J1,50.00%, $56.51 , $28.2550 ,$28.26 ,$28.26 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AL,S,10,Never,051712718455,J1,50.00%, $57.96 , $28.9800 ,$28.98 ,$28.98 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW,N,10,Never,051712718257,J1,50.00%, $54.36 , $27.1800 ,$27.18 ,$27.18 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RLA,N,10,Never,051712718509,J1,50.00%, $98.61 , $49.3050 ,$49.31 ,$49.31 ,BUSS fuseholder,,,,,,,,,,
HEB-AW-RLC-A,S,10,Never,051712718516,J1,50.00%, $76.49 , $38.2450 ,$38.25 ,$38.25 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RLC-B,S,10,Never,051712718523,J1,50.00%, $97.15 , $48.5750 ,$48.58 ,$48.58 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RLC-C,N,10,Never,051712718530,J1,50.00%, $102.03 , $51.0150 ,$51.02 ,$51.02 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RLC-J,N,10,Never,051712718493,J1,50.00%, $101.57 , $50.7850 ,$50.79 ,$50.79 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RYA,N,10,Never,051712718547,J1,50.00%, $141.24 , $70.6200 ,$70.62 ,$70.62 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AW-RYC,S,10,Never,051712718554,J1,50.00%, $114.16 , $57.0800 ,$57.08 ,$57.08 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-AY,N,10,Never,051712718295,J1,50.00%, $74.13 , $37.0650 ,$37.07 ,$37.07 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-BA,N,10,Never,051712718462,J1,50.00%, $41.64 , $20.8200 ,$20.82 ,$20.82 ,BUSS FUSEHOLDER WATERPROO,,,,,,,,,,
HEB-BB,S,10,Never,051712718264,J1,50.00%, $35.64 , $17.8200 ,$17.82 ,$17.82 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-BD,N,10,Never,051712718288,J1,50.00%, $41.22 , $20.6100 ,$20.61 ,$20.61 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-BW-RLC-B,N,10,Never,051712718561,J1,50.00%, $97.58 , $48.7900 ,$48.79 ,$48.79 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-DD,N,10,Never,051712718356,J1,50.00%, $41.46 , $20.7300 ,$20.73 ,$20.73 ,BUSS FUSEHOLDER WATERPROO,,,,,,,,,,
HEB-JJ,S,10,Never,051712718431,J1,50.00%, $58.35 , $29.1750 ,$29.18 ,$29.18 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-JJB,S,1,Never,051712253338,J1,50.00%, $76.48 , $38.2400 ,$38.24 ,$38.24 ,HEB-JJ FUSEHOLDER,,,,,,,,,,
HEB-JK,S,10,Never,051712718479,J1,50.00%, $99.04 , $49.5200 ,$49.52 ,$49.52 ,BUSS FUSEHOLDER WATERPROO,,,,,,,,,,
HEB-JL,N,10,Never,051712167628,J1,50.00%, $67.83 , $33.9150 ,$33.92 ,$33.92 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-JW,N,10,Never,051712167635,J1,50.00%, $75.75 , $37.8750 ,$37.88 ,$37.88 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-JW-RLC-J,S,10,Never,051712718486,J1,50.00%, $134.04 , $67.0200 ,$67.02 ,$67.02 ,BUSS FUSEHOLDER WATERPROO,,,,,,,,,,
HEB-JW-RYC,S,10,Never,051712718622,J1,50.00%, $157.45 , $78.7250 ,$78.73 ,$78.73 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-JY,N,10,Never,051712167659,J1,50.00%, $90.60 , $45.3000 ,$45.30 ,$45.30 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-LL,S,10,Never,051712718417,J1,50.00%, $44.00 , $22.0000 ,$22.00 ,$22.00 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-LLB,N,10,Never,051712253307,J1,50.00%, $48.06 , $24.0300 ,$24.03 ,$24.03 ,HEB-LL BAGGED W/BOOT,,,,,,,,,,
HEB-LW-RLA,S,10,Never,051712718608,J1,50.00%, $121.88 , $60.9400 ,$60.94 ,$60.94 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-LW-RYA,N,10,Never,051712718615,J1,50.00%, $152.70 , $76.3500 ,$76.35 ,$76.35 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-LWB,N,20,Never,051712253314,J1,50.00%, $61.13 , $30.5650 ,$30.57 ,$30.57 ,HEB-LW BAGGED W/BOOT,,,,,,,,,,
HEB-PP,N,1,Never,051712167727,J1,50.00%, $61.44 , $30.7200 ,$30.72 ,$30.72 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-QQ,S,1,Never,051712167734,J1,50.00%, $66.62 , $33.3100 ,$33.31 ,$33.31 ,BUSS FUSEHOLDER,,,,,,,,,,
HEB-SS,N,1,Never,051712167758,J1,50.00%, $78.10 , $39.0500 ,$39.05 ,$39.05 ,BUSS FUSEHOLDER,,,,,,,,,,
HEX-AW-DRLC-B,N,5,Never,051712709132,ES,50.00%, $265.08 , $132.5400 ,$132.54 ,$132.54 ,HEX Series In-Line Fuseholder,,,,,,,,,,
HFB,N,10,Never,051712718967,ES,50.00%, $9.34 , $4.6700 ,$4.67 ,$4.67 ,REPLACED BY HFB-R,,,,,,,,,,
HHB,N,10,Always,051712100861,ES,50.00%, $2.72 , $1.3600 ,$1.36 ,$1.36 ,REPLACED BY HHB-R,,,,,,,,,,
HHC,S,10,Never,051712718080,ES,50.00%, $5.12 , $2.5600 ,$2.56 ,$2.56 ,ATC FUSE HOLDER - 20A - 16 GAUGE WIRE,,,,,,,,,,
HHD,S,10,Never,051712168465,ES,50.00%, $4.89 , $2.4450 ,$2.45 ,$2.45 ,ATC FUSE HOLDER - 30A - 12 GAUGE WIRE,,,,,,,,,,
HHF,S,10,Never,051712269810,ES,50.00%, $4.57 , $2.2850 ,$2.29 ,$2.29 ,ATC HOLDER W/ COVER - 20A - 16 GAUGE,,,,,,,,,,
HHG,S,10,Never,051712269827,ES,50.00%, $5.97 , $2.9850 ,$2.99 ,$2.99 ,ATC HOLDER W/ COVER - 30A - 12 GAUGE,,,,,,,,,,
HHK,S,10,Never,051712273404,ES,50.00%, $2.87 , $1.4350 ,$1.44 ,$1.44 ,GLASS TUBE HOLDER - 20A - 14 GAUGE,,,,,,,,,,
HHN,S,10,Never,051712273428,ES,50.00%, $3.15 , $1.5750 ,$1.58 ,$1.58 ,1/4 IN INLINE FUSEHOLDER,,,,,,,,,,
HHT,S,100,Never,051712253383,ES,50.00%, $2.66 , $1.3300 ,$1.33 ,$1.33 ,5X20MM FUSE HOLDER,,,,,,,,,,
HHX,S,1,Never,051712168571,ES,50.00%, $26.59 , $13.2950 ,$13.30 ,$13.30 ,MAX FUSE HOLDER W/COVER - 60 AMP - 6 GA,,,,,,,,,,
HKL,N,10,Never,051712719049,ES,50.00%, $22.18 , $11.0900 ,$11.09 ,$11.09 ,"EOL, Recommended replacement is BK-HKL",,,,,,,,,,
HKP,N,10,Never,051712719070,J4,50.00%, $4.95 , $2.4750 ,$2.48 ,$2.48 ,"PANEL MOUNT HOLDER FOR 1/4"" x 1-1/4""",,,,,,,,,,
HKP-BB,N,1,Never,051712741019,J4,50.00%, $8.56 , $4.2800 ,$4.28 ,$4.28 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-BB-R,N,10,Never,051712649261,J4,50.00%, $6.40 , $3.2000 ,$3.20 ,$3.20 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-CC,N,10,Never,051712719087,J4,50.00%, $7.39 , $3.6950 ,$3.70 ,$3.70 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-CC-R,N,10,Never,051712649346,J4,50.00%, $5.47 , $2.7350 ,$2.74 ,$2.74 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-H,S,10,Never,051712719094,J4,50.00%, $14.62 , $7.3100 ,$7.31 ,$7.31 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-H-R,N,10,Never,051712649353,J4,50.00%, $7.11 , $3.5550 ,$3.56 ,$3.56 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-HH,S,10,Never,051712719100,J4,50.00%, $6.57 , $3.2850 ,$3.29 ,$3.29 ,"PANEL MOUNT HOLDER FOR 1/4"" x 1-1/4""",,,,,,,,,,
HKP-HH-R,N,10,Never,051712649407,J4,50.00%, $4.86 , $2.4300 ,$2.43 ,$2.43 ,BUSS FUSEHOLDER ROHS COMPLIANT,,,,,,,,,,
HKP-L,N,10,Never,051712741033,J4,50.00%, $8.54 , $4.2700 ,$4.27 ,$4.27 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-L-R,N,10,Never,051712649438,J4,50.00%, $6.34 , $3.1700 ,$3.17 ,$3.17 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-OO,N,10,Never,051712719186,J4,50.00%, $11.45 , $5.7250 ,$5.73 ,$5.73 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-OO-R,N,10,Never,051712649445,J4,50.00%, $12.51 , $6.2550 ,$6.26 ,$6.26 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-R,N,10,Never,051712649254,J4,50.00%, $4.17 , $2.0850 ,$2.09 ,$2.09 ,BUSS FUSEHOLDER,,,,,,,,,,
HKP-W,N,10,Never,051712719155,J4,50.00%, $9.66 , $4.8300 ,$4.83 ,$4.83 ,BUSS FUSEHOLDER S.D.,,,,,,,,,,
HLD-HH,N,10,Never,051712741040,ES,50.00%, $8.32 , $4.1600 ,$4.16 ,$4.16 ,BUSS FUSEHOLDER INDICATIN,,,,,,,,,,
HLQ-1-6/10,N,10,Never,051712740166,J5,50.00%, $9.51 , $4.7550 ,$4.76 ,$4.76 ,BUSS FUSEHOLDER,,,,,,,,,,
HLQ-10,N,10,Never,051712740203,J5,50.00%, $9.58 , $4.7900 ,$4.79 ,$4.79 ,BUSS FUSEHOLDER,,,,,,,,,,
HLQ-3-2/10,N,10,Never,051712740173,J5,50.00%, $9.58 , $4.7900 ,$4.79 ,$4.79 ,BUSS FUSEHOLDER,,,,,,,,,,
HLQ-5,N,10,Never,051712740180,J5,50.00%, $9.51 , $4.7550 ,$4.76 ,$4.76 ,BUSS FUSEHOLDER,,,,,,,,,,
HLQ-8,N,1,Never,051712740197,J5,50.00%, $9.51 , $4.7550 ,$4.76 ,$4.76 ,BUSS FUSEHOLDER,,,,,,,,,,
HLR,S,10,Never,051712719384,ES,50.00%, $5.77 , $2.8850 ,$2.89 ,$2.89 ,BUSS FUSEHOLDER,,,,,,,,,,
HLR-2A,S,10,Never,051712567466,ES,50.00%, $7.60 , $3.8000 ,$3.80 ,$3.80 ,BUSS FUSEHOLDER,,,,,,,,,,
HM25030-1CR,S,12,Never,051712512770,LM,50.00%, $21.02 , $10.5100 ,$10.51 ,$10.51 ,"Fuse Block, Class H, 250V 30A, 1 Pole",,,,,,,,,,
HM25030-1PR,S,6,Never,051712512749,LM,50.00%, $16.27 , $8.1350 ,$8.14 ,$8.14 ,"Fuse Block, Class H, 250V 30A, 1 Pole",,,,,,,,,,
HM25030-1QR,S,12,Never,051712511186,LM,50.00%, $12.96 , $6.4800 ,$6.48 ,$6.48 ,"Fuse Block, Class H, 250V 30A, 1 Pole",,,,,,,,,,
HM25030-1SR,S,12,Never,051712512718,LM,50.00%, $14.28 , $7.1400 ,$7.14 ,$7.14 ,"Fuse Block, Class H, 250V 30A, 1 Pole",,,,,,,,,,
HM25030-2CR,S,6,Never,051712512787,LM,50.00%, $37.05 , $18.5250 ,$18.53 ,$18.53 ,"Fuse Block, Class H, 250V 30A, 2 Pole",,,,,,,,,,
HM25030-2PR,S,6,Never,051712512756,LM,50.00%, $28.52 , $14.2600 ,$14.26 ,$14.26 ,"Fuse Block, Class H, 250V 30A, 2 Pole",,,,,,,,,,
HM25030-2QR,N,6,Never,051712511193,LM,50.00%, $22.25 , $11.1250 ,$11.13 ,$11.13 ,"Fuse Block, Class H, 250V 30A, 2 Pole",,,,,,,,,,
HM25030-2SR,S,6,Never,051712512725,LM,50.00%, $22.75 , $11.3750 ,$11.38 ,$11.38 ,"Fuse Block, Class H, 250V 30A, 2 Pole",,,,,,,,,,
HM25030-3CR,S,4,Never,051712511179,LM,50.00%, $53.62 , $26.8100 ,$26.81 ,$26.81 ,"Fuse Block, Class H, 250V 30A, 3 Pole",,,,,,,,,,
HM25030-3PR,S,4,Never,051712512763,LM,50.00%, $40.58 , $20.2900 ,$20.29 ,$20.29 ,"Fuse Block, Class H, 250V 30A, 3 Pole",,,,,,,,,,
HM25030-3QR,N,4,Never,051712511209,LM,50.00%, $33.39 , $16.6950 ,$16.70 ,$16.70 ,"Fuse Block, Class H, 250V 30A, 3 Pole",,,,,,,,,,
HM25030-3SR,S,4,Never,051712512732,LM,50.00%, $33.28 , $16.6400 ,$16.64 ,$16.64 ,"Fuse Block, Class H, 250V 30A, 3 Pole",,,,,,,,,,
HM25060-1CR,S,12,Never,051712511339,LM,50.00%, $24.99 , $12.4950 ,$12.50 ,$12.50 ,"Fuse Block, Class H, 250V 60A, 1 Pole",,,,,,,,,,
HM25060-2CR,S,6,Never,051712511346,LM,50.00%, $46.61 , $23.3050 ,$23.31 ,$23.31 ,"Fuse Block, Class H, 250V 60A, 2 Pole",,,,,,,,,,
HM25060-3CR,S,4,Never,051712511353,LM,50.00%, $65.50 , $32.7500 ,$32.75 ,$32.75 ,"Fuse Block, Class H, 250V 60A, 3 Pole",,,,,,,,,,
HM60030-1CR,S,12,Never,051712511452,LN,50.00%, $30.09 , $15.0450 ,$15.05 ,$15.05 ,"Fuse Block, Class H, 600V 30A, 1 Pole",,,,,,,,,,
HM60030-1PR,N,12,Never,051712511421,LN,50.00%, $29.35 , $14.6750 ,$14.68 ,$14.68 ,"Fuse Block, Class H, 600V 30A, 1 Pole",,,,,,,,,,
HM60030-1SR,N,12,Never,051712511391,LN,50.00%, $29.28 , $14.6400 ,$14.64 ,$14.64 ,"Fuse Block, Class H, 600V 30A, 1 Pole",,,,,,,,,,
HM60030-2CR,N,6,Never,051712511469,LN,50.00%, $52.31 , $26.1550 ,$26.16 ,$26.16 ,"Fuse Block, Class H, 600V 30A, 2 Pole",,,,,,,,,,
HM60030-2PR,N,6,Never,051712511438,LN,50.00%, $48.47 , $24.2350 ,$24.24 ,$24.24 ,"Fuse Block, Class H, 600V 30A, 2 Pole",,,,,,,,,,
HM60030-2SR,N,6,Never,051712511407,LN,50.00%, $46.89 , $23.4450 ,$23.45 ,$23.45 ,"Fuse Block, Class H, 600V 30A, 2 Pole",,,,,,,,,,
HM60030-3CR,S,4,Never,051712511476,LN,50.00%, $66.63 , $33.3150 ,$33.32 ,$33.32 ,"Fuse Block, Class H, 600V 30A, 3 Pole",,,,,,,,,,
HM60030-3PR,N,4,Never,051712511445,LN,50.00%, $61.45 , $30.7250 ,$30.73 ,$30.73 ,"Fuse Block, Class H, 600V 30A, 3 Pole",,,,,,,,,,
HM60030-3SR,S,4,Never,051712511414,LN,50.00%, $59.97 , $29.9850 ,$29.99 ,$29.99 ,"Fuse Block, Class H, 600V 30A, 3 Pole",,,,,,,,,,
HM60060-1CR,N,12,Never,051712511575,LN,50.00%, $36.27 , $18.1350 ,$18.14 ,$18.14 ,"Fuse Block, Class H, 600V 60A, 1 Pole",,,,,,,,,,
HM60060-2CR,N,6,Never,051712511582,LN,50.00%, $60.43 , $30.2150 ,$30.22 ,$30.22 ,"Fuse Block, Class H, 600V 60A, 2 Pole",,,,,,,,,,
HM60060-3CR,S,4,Never,051712511599,LN,50.00%, $76.81 , $38.4050 ,$38.41 ,$38.41 ,"Fuse Block, Class H, 600V 60A, 3 Pole",,,,,,,,,,
HMJ,N,10,Never,051712719469,ES,50.00%, $4.42 , $2.2100 ,$2.21 ,$2.21 ,HOLDER W/ SFE-20 FUSE - 20A - 14 GAUGE,,,,,,,,,,
HMK,S,10,Never,051712741064,ES,50.00%, $4.91 , $2.4550 ,$2.46 ,$2.46 ,GLASS TUBE HOLDER - 30A - 12 GAUGE,,,,,,,,,,
HPC-D,S,10,Never,051712719629,ES,50.00%, $48.21 , $24.1050 ,$24.11 ,$24.11 ,BUSS FUSEHOLDER,,,,,,,,,,
HPD,N,10,Never,051712740920,ES,50.00%, $17.80 , $8.9000 ,$8.90 ,$8.90 ,BUSS FUSEHOLDER,,,,,,,,,,
HPF-C,S,10,Never,051712740463,ES,50.00%, $21.84 , $10.9200 ,$10.92 ,$10.92 ,BUSS FUSEHOLDER,,,,,,,,,,
HPF-EE,S,10,Never,051712740470,ES,50.00%, $19.63 , $9.8150 ,$9.82 ,$9.82 ,BUSS FUSEHOLDER,,,,,,,,,,
HPF-JJ,N,10,Never,051712740494,ES,50.00%, $25.16 , $12.5800 ,$12.58 ,$12.58 ,BUSS FUSEHOLDER,,,,,,,,,,
HPF-RR,S,10,Never,051712740517,ES,50.00%, $29.69 , $14.8450 ,$14.85 ,$14.85 ,BUSS FUSEHOLDER,,,,,,,,,,
HPF-WT,S,10,Never,051712170468,ES,50.00%, $21.97 , $10.9850 ,$10.99 ,$10.99 ,BUSS FUSEHOLDER,,,,,,,,,,
HPG,S,10,Never,051712740456,ES,50.00%, $17.08 , $8.5400 ,$8.54 ,$8.54 ,BUSS FUSEHOLDER,,,,,,,,,,
HPG-EE,N,10,Never,051712719216,ES,50.00%, $19.84 , $9.9200 ,$9.92 ,$9.92 ,BUSS FUSEHOLDER S.D.,,,,,,,,,,
HPM,S,10,Never,051712719735,ES,50.00%, $47.76 , $23.8800 ,$23.88 ,$23.88 ,BUSS FUSEHOLDER,,,,,,,,,,
HPS,S,10,Never,051712740357,ES,50.00%, $23.84 , $11.9200 ,$11.92 ,$11.92 ,BUSS FUSEHOLDER,,,,,,,,,,
HPS-FF,N,10,Never,051712740319,ES,50.00%, $29.72 , $14.8600 ,$14.86 ,$14.86 ,BUSS FUSEHOLDER,,,,,,,,,,
HPS-RR,N,10,Never,051712740302,ES,50.00%, $32.29 , $16.1450 ,$16.15 ,$16.15 ,BUSS FUSEHOLDER,,,,,,,,,,
HRJ,S,10,Never,051712719704,ES,50.00%, $4.52 , $2.2600 ,$2.26 ,$2.26 ,GLASS HOLDER WITH SFE-20 FUSE - 20A,,,,,,,,,,
HRK,S,10,Never,051712719711,ES,50.00%, $6.40 , $3.2000 ,$3.20 ,$3.20 ,UNIVERSAL GLASS HOLDER WITH SPRINGS,,,,,,,,,,
HRK-R,S,10,Never,051712538985,ES,50.00%, $4.44 , $2.2200 ,$2.22 ,$2.22 ,FUSEHOLDER,,,,,,,,,,
J-13,S,1,Never,051712714150,R1,50.00%, $60.49 , $30.2450 ,$30.25 ,$30.25 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-16,S,1,Never,051712714167,R1,50.00%, $43.30 , $21.6500 ,$21.65 ,$21.65 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-21,S,1,Never,051712714174,R1,50.00%, $92.84 , $46.4200 ,$46.42 ,$46.42 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-26,S,1,Never,051712714198,R1,50.00%, $214.68 , $107.3400 ,$107.34 ,$107.34 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-41,N,1,Never,051712714204,R1,50.00%, $268.79 , $134.3950 ,$134.40 ,$134.40 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-42,S,1,Never,051712714211,R1,50.00%, $335.54 , $167.7700 ,$167.77 ,$167.77 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-62,N,1,Never,051712714235,R1,50.00%, $401.75 , $200.8750 ,$200.88 ,$200.88 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-63,S,1,Never,051712714242,R1,50.00%, $32.44 , $16.2200 ,$16.22 ,$16.22 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
J-64,N,1,Never,051712714259,R1,50.00%, $446.84 , $223.4200 ,$223.42 ,$223.42 ,BUSS FUSE REDUCER CLASS J,,,,,,,,,,
JDL10,S,10,Never,782634803362,BX,65.00%, $38.53 , $13.4855 ,$13.49 ,$13.49 ,UL CLASS J TIME DELAY 600,,,,,,,,,,
JDL100,S,5,Never,782634803492,BX,65.00%, $128.59 , $45.0065 ,$45.01 ,$45.01 ,UL CLASS J TIME DELAY 600,,,,,,,,,,
JDL100I,N,5,Never,782634990857,BX,65.00%, $162.55 , $56.8925 ,$56.89 ,$56.89 ,TIME DELAY INDICATING,,,,,,,,,,
JDL10I,N,10,Never,782634990703,BX,65.00%, $42.56 , $14.8960 ,$14.90 ,$14.90 ,TIME DELAY INDICATING,,,,,,,,,,
JDL12,S,10,Never,782634630159,BX,65.00%, $38.30 , $13.4050 ,$13.41 ,$13.41 ,600V CLASS J TIME DELAY,,,,,,,,,,
JDL125,S,1,Never,782634803515,BX,65.00%, $258.36 , $90.4260 ,$90.43 ,$90.43 ,UL CLASS J TIME DELAY 600,,,,,,,,,,
JDL125I,N,1,Never,782634990871,BX,65.00%, $281.94 , $98.6790 ,$98.68 ,$98.68 ,TIME DELAY INDICATING,,,,,,,,,,
JDL12I,N,10,Never,782634990710,BX,65.00%, $40.20 , $14.0700 ,$14.07 ,$14.07 ,TIME DELAY INDICATING,,,,,,,,,,
JDL15,S,10,Never,782634803379,BX,65.00%, $40.81 , $14.2835 ,$14.28 ,$14.28 ,UL CLASS J TIME DELAY 600,,,,,,,,,,
