"ARLINGTON INDUSTRIES, INC.",,,,,,,,,,,,,,
DISTRIBUTOR NET PRICE SHEET,,,,,,,,,,,,,,
"EFFECTIVE JULY 1, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,ITEM #,DESCRIPTION,UPC,UNIT,STD, PRICE / C ,,,,,,,,
6,2410,1/2-3/4 COMBO COUPLING,01899706921,50,50, $114.44 ,,,,,,,,
6,2411,3/4-3/4 COMBO COUPLING,01899706922,50,50, $144.73 ,,,,,,,,
36,260,"1/2"" BOX SPACER",01899700260,25,250, $142.29 ,,,,,,,,
54,260ST,"1/2"" BOX SPACER ST",01899706000,25,250, $171.09 ,,,,,,,,
14,2850,"MBLE PIPSPT. W/10""BLT",01899728550,5,5," $1,381.84 ",,,,,,,,
49,300,NAIL ON NM CABLE STRAP,01899720820,100,5000, $3.05 ,,,,,,,,
49,301,8/3 3/3 1-HLE SEC STRP,01899700301,100,1000, $22.00 ,,,,,,,,
49,303,2/3 1-HLE SEC STRAP,01899700303,100,1000, $69.71 ,,,,,,,,
49,310,"3/8"" 1-HOLE BX STRAP",01899700310,100,1000, $10.33 ,,,,,,,,
5,3100,"1/2"" 1 HOLE M.I. STRAP",01899703100,50,500, $47.05 ,,,,,,,,
5,3101,"3/4"" 1 HOLE M.I. STRAP",01899703101,50,500, $66.65 ,,,,,,,,
5,3102,"1"" 1 HOLE M.I  STRAP",01899703102,25,250, $102.88 ,,,,,,,,
5,3103,"1-1/4"" 1 HOLE MI STRAP",01899703103,25,250, $164.54 ,,,,,,,,
5,3104,"1-1/2"" 1 HOLE MI STRAP",01899703104,25,250, $197.47 ,,,,,,,,
5,3105,"2"" 1 HOLE M.I. STRAP",01899703105,25,150, $342.82 ,,,,,,,,
5,3106,"2-1/2"" 1 HOLE MI STRAP",01899703106,25,25, $723.57 ,,,,,,,,
5,3107,"3"" 1 HOLE M.I. STRAP",01899703107,25,25," $1,020.34 ",,,,,,,,
5,3108,"3-1/2"" 1 HOLE MI STRAP",01899703108,10,10," $1,576.89 ",,,,,,,,
5,3109,"4"" 1 HOLE M.I. STRAP",01899703109,10,10," $3,263.47 ",,,,,,,,
49,311,"1/4"" BX 1-HOLE STRAP",01899784174,100,1000, $7.25 ,,,,,,,,
36,313S,1-1/2-2/0 SEU STRAP,01899700133,100,100, $63.35 ,,,,,,,,
36,314S,3/0-4/0 SEU STRAP,01899700014,100,100, $74.67 ,,,,,,,,
49,3232,ALUMINUM STRAP,01899732320,100,1000, $30.22 ,,,,,,,,
49,3282,ALUMINUM SERVICE STRAP,01899703282,100,1000, $57.28 ,,,,,,,,
49,3284,ALUMINUM STRAP,01899732840,100,1000, $73.17 ,,,,,,,,
49,340,"1/2"" 1 HOLE RGD STRAP",01899700340,50,500, $15.61 ,,,,,,,,
49,341,"3/4"" 1 HOLE RGD STRAP",01899700341,50,500, $23.07 ,,,,,,,,
49,342,"1"" 1 HOLE RIGID STRAP",01899700342,25,250, $37.54 ,,,,,,,,
49,343,"1-1/4"" 1HOLE RGD STRAP",01899700343,25,100, $51.70 ,,,,,,,,
49,344,"1-1/2"" 1HOLE RGD STRAP",01899700344,25,100, $73.17 ,,,,,,,,
49,345,"2"" 1 HOLE RIGID STRAP",01899700345,25,100, $82.73 ,,,,,,,,
49,346,"2-1/2"" 1 HOLE STRAP",01899700346,25,25, $235.49 ,,,,,,,,
49,347,"3"" 1 HOLE STRAP",01899700347,25,25, $286.37 ,,,,,,,,
49,348,"3-1/2"" 1 HOLE STRAP",01899700348,10,10, $391.38 ,,,,,,,,
49,349,"4"" 1 HOLE STRAP",01899700349,10,10, $493.20 ,,,,,,,,
49,350,"1/2"" 2 HOLE RGD STRAP",01899700350,50,500, $9.73 ,,,,,,,,
49,351,"3/4"" 2 HOLE RGD STRAP",01899700351,50,500, $13.33 ,,,,,,,,
49,352,"1"" 2 HOLE RIGID STRAP",01899700352,25,250, $21.46 ,,,,,,,,
49,353,"1-1/4"" 2HOLE RGD STRAP",01899700353,25,100, $30.87 ,,,,,,,,
49,354,"1-1/2"" 2 HOLE RGD STRP",01899700354,25,100, $36.92 ,,,,,,,,
49,355,"2"" 2 HOLE RIGID STRAP",01899700355,25,150, $55.71 ,,,,,,,,
49,356,"2-1/2"" 2 HOLE STRAP",01899700356,25,25, $79.26 ,,,,,,,,
49,357,"3"" 2 HOLE STRAP",01899700357,25,25, $105.98 ,,,,,,,,
49,358,"3-1/2"" 2 HOLE STRAP",01899700358,10,10, $120.59 ,,,,,,,,
49,359,"4"" 2 HOLE STRAP",01899700359,10,10, $135.25 ,,,,,,,,
49,360,"1/2"" 2 HOLE EMT STRAP",01899700360,100,1000, $8.94 ,,,,,,,,
49,361,"3/4"" 2 HOLE EMT STRAP",01899700361,50,500, $10.83 ,,,,,,,,
49,362,"1"" 2 HOLE EMT STRAP",01899700362,50,250, $19.23 ,,,,,,,,
49,363,"1-1/4"" 2HOLE EMT STRAP",01899700363,50,250, $31.27 ,,,,,,,,
49,364,"1-1/2"" 2HOLE EMT STRAP",01899700364,25,250, $33.33 ,,,,,,,,
49,365,"2"" 2 HOLE EMT STRAP",01899700365,25,250, $46.99 ,,,,,,,,
49,370,"1/2"" EMT STEEL STRAP",01899700370,100,1000, $9.23 ,,,,,,,,
49,371,"3/4"" EMT STEEL STRAP",01899700371,100,1000, $15.17 ,,,,,,,,
49,372,"1"" EMT STEEL STRAP",01899700372,50,500, $27.30 ,,,,,,,,
49,373,"1 1/4"" EMT STEEL STRAP",01899700373,25,250, $39.38 ,,,,,,,,
49,374,"1 1/2"" EMT STEEL STRAP",01899700374,25,100, $63.65 ,,,,,,,,
49,375,"2"" EMT STEEL STRAP",01899700375,25,100, $75.79 ,,,,,,,,
73,380AST,SNAP2IT SNAP IN CONNEC,01899700382,50,500, $87.35 ,,,,,,,,
73,380ST,SNAP2IT WITH RECT THRT,01899700381,50,500, $87.35 ,,,,,,,,
73,3810900AST,90 DEG SNAP2IT CONNECT,01899736510,25,250, $90.10 ,,,,,,,,
111,3810AST,SNAP 2 IT CONNECTOR,01899700385,50,500, $89.93 ,,,,,,,,
111,383810AST,SNAP2IT SNAP IN DUPLEX,01899710937,25,100, $210.36 ,,,,,,,,
73,3838A,SNAP2IT DUPLEX CONN,01899736200,25,100, $208.47 ,,,,,,,,
73,3838AST,SNAP2IT DPLX CONNECTOR,01899736230,25,100, $204.34 ,,,,,,,,
73,3838ST,SNAP 2 IT DUPLEX CONN,01899710935,25,100, $185.83 ,,,,,,,,
73,387A,"3/4"" KO SNAP IN CONN",01899711430,50,500, $226.81 ,,,,,,,,
73,387AST,"SNAP2IT CONN 3/4"" KO",01899711431,50,500, $226.81 ,,,,,,,,
73,38900AST,90 DEG SNAP2IT CONNECT,01899704093,25,250, $87.52 ,,,,,,,,
73,38900ST,90 DEG SNAP2IT CONNECT,01899704098,25,250, $87.52 ,,,,,,,,
73,38A,SNAP2IT INS. W/LCKNT,01899700038,50,500, $87.35 ,,,,,,,,
73,38AST,SNAP2IT SNAP IN CONNEC,01899700070,50,500, $87.35 ,,,,,,,,
73,38RAST,SNAP2IT RETROFIT CON,01899713586,25,25, $92.95 ,,,,,,,,
73,38RASTG,SNAP2IT RETROFIT CONNE,01899713588,25,25, $178.24 ,,,,,,,,
29,4001,"1/2"" ADJ THRT LINER",01899704001,25,100, $99.19 ,,,,,,,,
