Item,Item Description,"Plat Plus 
Net Price",Cost Unit of Measure,STD PACK Qty,Bag QTY, Weight per 100 , Suggested Trade , Suggested Retail Price ,Stocking Indicator,ABC Code,Class,NAED/UPC Number,UNSPSC,Brand,,,,,,
10-086,WingGard ULTRA Red #86100/Ct  n                             ,$5.61,CO,10,100, 69.4 ,$7.26,$8.06,N ,D  ,WIC,032076100865,39121445       ,Gardner Bender,,,,,,
10-089,WingGard Blue #89 50/Ctn 10   Ctns/Master                   ,$8.34,CO,10,50, 93.2 ,$10.81,$12.01,N ,D  ,STC,032076100896,39121445       ,Gardner Bender,43.24c,48.84c,HD 49.12c,25 pack,HD 37.42c,100pack (NS)
10-095,GreenGard Green #95 100/Ctn    10Ctns/Master                ,$8.34,CO,10,100, 65.2 ,$10.81,$12.01,N ,D  ,STC,032076100957,39121445       ,Gardner Bender,15.92,16.96,18.38,19.46,HD 19.98c,
10095VDV,Cable tie 4in & 8in 18 & 75lb BE GY YW 200/bag 6 Bags/Master,$4.58,BG,6,200, 38.3 ,$5.86,$6.52,N ,D  ,ACT,032076073909,39121703       ,Gardner Bender,,,,,,
10096,Cable tie 4in & 8in 18 & 45lb UV TN OGN 200/tube 6 Tubes    ,$5.63,EA,6,200, 33.8 ,$7.84,$8.71,N ,D  ,ACT,032076100964,39121703       ,Gardner Bender,,,,,,
10097UVL,Cable tie 4in & 8in 18 & 45lb Black 200/tube 5 Tubes/Master ,$6.92,EA,5,200, 35.6 ,$8.97,$9.97,N ,D  ,ACT,032076055141,39121703       ,Gardner Bender,,,,,,
10098NL,Cable tie 4in & 8in 18 & 45lb Natural 200/tube 5 Tubes/Maste,$4.99,EA,5,200, 34.8 ,$7.84,$8.71,N ,D  ,ACT,032076052669,39121703       ,Gardner Bender,,,,,,
10-100,Tap Splice  16-14 AWG  Blue  25/Clam  5Clams/Master         ,$5.57,CO,5,25, 12.4 ,$7.23,$8.03,N ,D  ,TAP,032076101008,39121405       ,Gardner Bender,,,,,,
10-102,RING VINYL 22-18 AWG  STUD 8-10  100/Clam  5 Clams/master   ,$3.46,CO,5,100, 19.2 ,$4.47,$4.97,N ,D  ,RIN,032076921323,39121405       ,Gardner Bender,,,,,,
10-103,TERMINAL RING 16-14 AWG STUD SIZE 4-6 BLUE 100/CLAM 5CLAMS  ,$7.80,CO,5,100, 20.4 ,$10.11,$11.23,N ,D  ,RIN,032076101039,39121405       ,Gardner Bender,,,,,,
10-104,Terminal Ring 8-10 Stud 16-14 AWG Blue 100/Clam 5 Clams     ,$8.04,CO,5,100, 24.4 ,$10.41,$11.57,N ,D  ,RIN,032076101046,39121405       ,Gardner Bender,,,,,,
10-105,TERMINAL RING 16-14 AWG STUD SIZE 12-1/4 BLUE 100/CLAM      ,$8.22,CO,5,100, 32.0 ,$10.65,$11.83,N ,D  ,RIN,032076101053,39121405       ,Gardner Bender,,,,,,
10-106,Terminal Ring 8-10 Stud 12-10 AWG Yellow 50/Clam 5 Clams    ,$7.47,CO,5,50, 21.6 ,$9.69,$10.76,N ,D  ,RIN,032076101060,39121405       ,Gardner Bender,,,,,,
10-107,TERMINAL RING 12-10 AWG STUD  12-1/4 YELLOW 50/CLAM 5CLAMS  ,$7.75,CO,5,50, 26.2 ,$10.05,$11.17,N ,D  ,RIN,032076101077,39121405       ,Gardner Bender,,,,,,
10-108,TERMINAL RING 12-10 AWG STUD  1/4-3/8 YELLOW 50/CLAM 5CLAMS ,$7.30,CO,5,50, 28.4 ,$9.46,$10.51,N ,D  ,RIN,032076101084,39121405       ,Gardner Bender,,,,,,
10111,GRAY/GRAY WATERPROOF CONNECTORS   20/BAG  10 BAGS/MASTER    ,$12.72,BG,10,20, 9.6 ,$16.50,$18.34,N ,D  ,WAT,719362101118,39121445       ,King,,,,,,
10-113,TERMINAL SPADE 16-14 AWG STUD SIZE 4-6 BLUE 100/CLAM 5CLAMS ,$8.04,CO,5,100, 21.4 ,$10.41,$11.57,N ,D  ,SPM,032076101138,39121405       ,Gardner Bender,,,,,,
10-114,TERMINAL SPADE 16-14 AWG STUD SIZE 8-10 BLUE 100/CLAM 5CLAMS,$7.62,CO,5,100, 23.6 ,$9.89,$10.99,N ,D  ,SPM,032076101145,39121405       ,Gardner Bender,,,,,,
10-116,Terminal Spade 8-10 Stud 12-10 AWG Yellow 50/Clam 5 Clams   ,$8.22,CO,5,50, 21.8 ,$10.65,$11.83,N ,D  ,SPM,032076101169,39121405       ,Gardner Bender,,,,,,
10-121,Splice  Butt  22-16 AWG  Red  100/Clam  5 Clams/Master      ,$7.30,CO,5,100, 23.8 ,$9.46,$10.51,N ,D  ,GBS,032076101213,39121405       ,Gardner Bender,,,,,,
10-123,Splice  Butt  16-14 AWG  Blue  100/Clam  5 Clams/Master     ,$8.04,CO,5,100, 27.4 ,$10.41,$11.57,N ,D  ,GBS,032076101237,39121405       ,Gardner Bender,,,,,,
10-126,Splice  Butt  12-10 AWG  Yellow  50/Clam  5 Clams/Master    ,$7.62,CO,5,50, 26.8 ,$9.89,$10.99,N ,D  ,GBS,032076101268,39121405       ,Gardner Bender,,,,,,
10-141F,Disconnect F 22-16 AWG 0.250 Tab Red 100/Clam 5 Clams/Master,$10.04,CO,5,100, 19.8 ,$13.02,$14.47,N ,D  ,DIS,032076102418,39121405       ,Gardner Bender,,,,,,
10-141M,Disconnect M 22-16 AWG 0.250 Tab Red 100/Clam 5 Clams/Master,$10.71,CO,5,100, 18.0 ,$13.89,$15.43,N ,D  ,DIS,032076103415,39121405       ,Gardner Bender,,,,,,
10-143F,Disconnect Female .25in Tab 16-14 AWG Blue 100/Clam 5 Clams ,$10.56,CO,5,100, 21.2 ,$13.69,$15.22,N ,D  ,DIS,032076102432,39121405       ,Gardner Bender,,,,,,
10-145F,Disconnect Female .25in Tab 12-10 AWG Yellow 100/Clam 5 Clam,$13.65,CO,5,100, 25.6 ,$17.70,$19.67,N ,D  ,DIS,032076102456,39121405       ,Gardner Bender,,,,,,
10-145M,Disconnect Male .25in Tab 12-10 AWG Yellow 100/Clam 5 Clams ,$13.47,CO,5,100, 23.6 ,$17.46,$19.40,N ,D  ,DIS,032076103453,39121405       ,Gardner Bender,,,,,,
