"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
46,038753302010,,,K38,G30201,1,Light Cutting Oil QUART,Piece,18.81,17.01,12.68,11.53,12,,,,,,,
47,038753302027,,,K38,G30202,1,Light Cutting Oil GALLON,Piece,51.64,46.71,34.68,31.53,6,,,,,,,
48,038753302034,,,K38,G30203,1,Dark Cutting Oil PINT,Piece,10.14,9.17,6.93,6.31,12,,,,,,,
49,038753302041,,,K38,G30204,1,Dark Cutting Oil QUART,Piece,18.84,17.01,12.68,11.53,12,,,,,,,
50,038753302058,,,K38,G30205,1,Dark Cutting Oil GALLON,Piece,51.64,46.71,34.68,31.53,6,,,,,,,
51,083675030312,,,J2,G30324,1,Regular Body Cement GAL,Piece,56.67,51.52,35.67,31.80,6,,,,,,,
52,083675030329,,,J2,G30336S,1,Regular Body Cement QT,Piece,14.70,12.42,9.17,8.08,12,,,,,,,
53,083675303430,,,J2,G30346S,1,Regular Body Cement PT,Piece,9.26,7.80,5.84,5.26,24,,,,,,,
54,083675303546,,,J2,G30356S,1,Regular Body Cement 1/2 PT,Piece,5.99,5.45,3.99,3.61,24,,,,,,,
55,083675303652,,,J2,G30366S,1,Regular Body Cement 1/4 PT,Piece,4.29,3.93,2.85,2.60,24,,,,,,,
56,038753307565,,,J2,G30756,1,Purple Primer 1/2 PINT,Piece,7.26,6.58,5.05,4.58,24,,,,,,,
57,038753307961,,,J3,G30796,1,Purple Cleaner/Primer PT,Piece,17.46,15.87,11.56,10.51,24,,,,,,,
58,038753309019,,,J4,G30901,1,Can Gallon Wide Mouth,Piece,11.18,10.14,8.92,8.11,6,,,,,,,
59,038753310176,,,J4,G31017,1,Medium Body Cement Clear 1/4 PT,Piece,5.28,4.78,3.54,3.21,24,,,,,,,
60,038753310183,,,J4,G31018,1,Med Primer 1/2 PT,Piece,43.92,39.86,30.52,27.72,24,,,,,,,
61,038753312750,,,J4,G31275,1,Roller Applicator,Piece,40.22,36.58,32.19,29.26,12,,,,,,,
62,038753312767,,,J4,G31276,1,Swab Applicator,Piece,43.53,39.57,34.73,31.58,12,,,,,,,
63,038753313009,,,J4,G31300,1,"Adj. Plastic Dauber 1/2""-1",Piece,8.82,8.04,7.07,6.43,48,,,,,,,
64,038753313016,,,J4,G31301,1,"Adj. Plastic Dauber 1-1/2""-4",Piece,7.81,7.11,6.29,5.73,100,,,,,,,
65,038753313054,,,J4,G31305,1,8oz Cement Can,Piece,4.95,4.53,3.98,3.61,24,,,,,,,
66,038753313061,,,J4,G31306,1,16oz Cement Can,Piece,7.03,6.39,5.65,5.12,24,,,,,,,
67,038753313078,,,J4,G31307,1,32oz Cement Can,Piece,8.61,7.80,6.90,6.27,12,,,,,,,
68,038753313092,,,J4,G31309,1,8oz Dauber,Piece,3.02,2.75,2.39,2.19,48,,,,,,,
69,038753313108,,,J4,G31310,1,16oz Dauber,Piece,1.77,1.62,1.41,1.27,48,,,,,,,
70,038753313122,,,J4,G31312,1,32oz Dauber,Piece,2.32,2.09,1.83,1.68,48,,,,,,,
71,038753340449,,,J4,G34044,1,"14""X29"" Access Panel",Piece,57.42,52.19,38.55,35.04,6,,,,,,,
72,038753340456,,,J4,G34045,1,"8""X8"" Access Panel",Piece,25.70,23.39,17.28,15.76,6,,,,,,,
73,038753340555,,,J4,G34055,1,"6""X9"" Access Panel",Piece,19.53,17.74,13.08,11.88,6,,,,,,,
74,038753340562,,,J4,G34056,1,"14""X14"" Access Panel",Piece,33.06,30.06,22.38,20.38,6,,,,,,,
75,083675403215,,,J1,G40324,1,Medium Body Cement Gray GAL,Piece,79.20,71.97,44.09,40.08,24,,,,,,,
76,083675403321,,,J1,G40336S,1,Medium Body Cement Gray QT,Piece,21.14,19.23,10.82,9.83,12,,,,,,,
77,083675404328,,,J1,G40436S,1,Medium Body Cement Clear QT,Piece,16.32,13.58,9.45,8.14,12,,,,,,,
78,083675404434,,,J1,G40446S,1,Medium Body Cement Clear PT,Piece,10.02,8.37,6.05,5.21,24,,,,,,,
79,083675404540,,,J1,G40456S,1,Med Body Cement Clear 1/2 PT,Piece,6.34,5.78,4.39,4.01,24,,,,,,,
80,083675073463,,,J2,G7346S,1,Clear Cleaner PINT,Piece,9.92,8.99,5.91,5.38,24,,,,,,,
81,083675073562,,,J2,G7356S,1,Clear Cleaner 1/2 PINT,Piece,6.49,5.91,4.57,4.16,24,,,,,,,
82,083675073661,,,J2,G7366S,1,Clear Cleaner 1/4 PINT,Piece,5.77,5.22,3.98,3.62,24,,,,,,,
83,083675803213,,,J2,G80324,1,Clear Cleaner GAL,Piece,51.43,46.75,36.24,32.94,6,,,,,,,
84,083675080324,,,J2,G80336S,1,Clear Cleaner QUART,Piece,15.64,14.21,9.19,8.36,12,,,,,,,
85,083675088245,,,J2,G8824,1,Purple Cleaner/Primer GAL,Piece,90.47,82.26,62.43,56.79,6,,,,,,,
86,083675088368,,,J2,G8836S,1,Purple Cleaner/Primer QUART,Piece,28.18,25.61,18.65,16.94,12,,,,,,,
87,083675903210,,,J2,G90324,1,Purple Primer GALLON,Piece,70.13,48.68,38.38,34.88,6,,,,,,,
88,083675903326,,,J2,G90336S,1,Purple Primer QUART,Piece,18.03,13.03,9.71,8.81,12,,,,,,,
89,083675903432,,,J2,G90346S,1,Purple Primer PINT,Piece,10.91,7.92,5.95,5.42,24,,,,,,,
90,083675093249,,,J2,G9324,1,Clear Primer GALLON,Piece,83.88,76.28,71.32,64.83,6,,,,,,,
91,083675093362,,,J2,G9336S,1,Clear Primer QUART,Piece,18.20,16.54,12.31,11.21,12,,,,,,,
92,083675093461,,,J2,G9346S,1,Clear Primer PINT,Piece,10.91,9.97,7.33,6.65,24,,,,,,,
93,083675093560,,,J2,G9356S,1,Clear Primer 1/2 PINT,Piece,8.67,7.87,6.08,5.51,24,,,,,,,
94,083675093669,,,J2,G9366S,1,Clear Primer 1/4 PINT,Piece,5.93,5.41,4.24,3.89,24,,,,,,,
95,601986010122,144110,26121638,D11,01012,25,22-16 #6 Vinyl Ring Sm Pk,Piece,0.0991,,,,,,,,,,,
96,601986010146,144110,26121638,D11,01014,25,22-16 #8 Vinyl Ring Sm Pk,Piece,0.0991,,,,,,,,,,,
97,601986010160,144110,26121638,D11,01016,25,22-16 #10 Vinyl Ring Sm Pk,Piece,0.0991,,,,,,,,,,,
98,601986010184,144110,26121638,D11,01018,25,22-16 1/4 Vinyl Ring Sm Pk,Piece,0.1340,,,,,,,,,,,
99,601986010320,144110,26121638,D11,01032,25,16-14 #6 Vinyl Ring Sm Pk,Piece,0.1090,,,,,,,,,,,
100,601986010344,144110,26121638,D11,01034,25,16-14 #8 Vinyl Ring Sm Pk,Piece,0.1090,,,,,,,,,,,
101,601986010368,144110,26121638,D11,01036,25,16-14 #10 Vinyl Ring  Sm Pk,Piece,0.1090,,,,,,,,,,,
102,601986010382,144110,26121638,D11,01038,25,16-14 1/4 Vinyl Ring Sm Pk,Piece,0.1369,,,,,,,,,,,
103,601986010405,144110,26121638,D11,01040,25,16-14 5/16 Vinyl Ring Sm Pk,Piece,0.1369,,,,,,,,,,,
104,601986010429,144110,26121638,D11,01042,25,16-14 3/8 Vinyl Ring Sm Pk,Piece,0.1576,,,,,,,,,,,
105,601986010627,144110,26121638,D11,01062,25,12-10 #8 Vinyl Ring Sm Pk,Piece,0.1338,,,,,,,,,,,
106,601986010641,144110,26121638,D11,01064,25,12-10 #10 Vinyl Ring Sm Pk,Piece,0.1577,,,,,,,,,,,
107,601986010665,144110,26121638,D11,01066,25,12-10 1/4 Vinyl Ring Sm Pk,Piece,0.2035,,,,,,,,,,,
108,601986010689,144110,26121638,D11,01068,25,12-10 5/16 Vinyl Ring Sm Pk,Piece,0.2246,,,,,,,,,,,
109,601986010702,144110,26121638,D11,01070,25,12-10 3/8 Vinyl Ring Sm Pk,Piece,0.2246,,,,,,,,,,,
110,601986011129,144110,26121638,D11,01112,25,22-16 #6 Vinyl Spade Sm Pk,Piece,0.0991,,,,,,,,,,,
111,601986011143,144110,26121638,D11,01114,25,22-16 #8 Vinyl Spade Sm Pk,Piece,0.0991,,,,,,,,,,,
112,601986011167,144110,26121638,D11,01116,25,22-16 #10 Vinyl Spade Sm Pk,Piece,0.1010,,,,,,,,,,,
113,601986011181,144110,26121638,D11,01118,25,22-16 1/4 Vinyl Spade Sm Pk,Piece,0.1448,,,,,,,,,,,
114,601986011327,144110,26121638,D11,01132,25,16-14 #6 Vinyl Spade  Sm Pk,Piece,0.1067,,,,,,,,,,,
115,601986011341,144110,26121638,D11,01134,25,16-14 #8 Vinyl Spade Sm Pk,Piece,0.1067,,,,,,,,,,,
116,601986011365,144110,26121638,D11,01136,25,16-14 #10 Vinyl Spade Sm Pk,Piece,0.1191,,,,,,,,,,,
117,601986011389,144110,26121638,D11,01138,25,16-14 1/4 Vinyl Spade Sm Pk,Piece,0.1673,,,,,,,,,,,
118,601986011624,144110,26121638,D11,01162,25,12-10 #8 Vinyl Spade Sm Pk,Piece,0.1610,,,,,,,,,,,
119,601986011648,144110,26121638,D11,01164,25,12-10 #10 Vinyl Spade Sm Pk,Piece,0.1610,,,,,,,,,,,
120,601986011662,144110,26121638,D11,01166,25,12-10 1/4 Vinyl Spade Sm Pk,Piece,0.2181,,,,,,,,,,,
121,601986011686,144110,26121638,D11,01168,25,12-10 5/16 Vinyl Spade Sm Pk,Piece,0.2265,,,,,,,,,,,
122,601986011822,144110,26121638,D11,01182,25,22-16 Vinyl Butt Sm Pk,Piece,0.1042,,,,,,,,,,,
123,601986011846,144110,26121638,D11,01184,25,16-14 Vinyl Butt Sm Pk,Piece,0.1102,,,,,,,,,,,
124,601986011860,144110,26121638,D11,01186,25,12-10 Vinyl Butt Sm Pk,Piece,0.1661,,,,,,,,,,,
125,601986012126,144110,26121638,D12,01212,25,22-16 .020x.187 Vin Male Sm Pk,Piece,0.1010,,,,,,,,,,,
126,601986012140,144110,26121638,D12,01214,25,22-16 .032x.250 Vin Male Sm Pk,Piece,0.0958,,,,,,,,,,,
127,601986012225,144110,26121638,D12,01222,25,16-14 .020x.187 Vin Male Sm Pk,Piece,0.1010,,,,,,,,,,,
128,601986012249,144110,26121638,D12,01224,25,16-14 .032x.250 Vin Male Sm Pk,Piece,0.0958,,,,,,,,,,,
