Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
9305-SK,10085339273513,303.92,195.45,50,21.00,CEILING BOX 14.0CU.,,,,,,,
9305-SKLS,10085339273520,315.13,202.66,50,21.00,CEILING BOX 14.0CU.,,,,,,,
9312-EK,10085339291128,435.44,280.03,50,24.00,TWO GANG 28CU KLAMP,,,,,,,
9312-EWK,10085339291111,520.46,334.71,50,25.00,TWO GANG 28.0CU.,,6.45,,,,,
9313-EWK,10085339100949,717.01,461.11,25,13.50,THREE GANG 42.5CU,,8.72,,,,,
9314-EWK,10085339318009,"1,317.97",847.58,6,7.98,FOUR GANG OLD WORK EAR WING KLAMP,,,,,,,
9315,10085339101304,171.92,110.56,100,16.00,COVER ROUND 4.5,,,,,,,
9315-WH,10085339101328,189.19,121.67,100,16.00,COVER ROUND 4.5CU,,,,,,,
9318,10085339101403,223.94,144.02,100,27.00,SINGLE GANG 12.5CU,,,,,,,
9319=,10085339101502,196.79,126.55,100,10.00,COVER SWITCH,,,,,,,
9320=,10085339101519,166.42,107.02,100,7.00,COVER OUTLET,,,,,,,
9322=,10085339101526,166.99,107.39,100,7.00,COVER BLANK,,,,,,,
9327-N,10085339101953,228.03,146.65,50,20.50,SINGLE GANG 20.5CU.,,,,,,,
9329-EWK,10085339108020,591.76,380.56,50,25.00,TWO GANG 32.5CU.,,,,,,,
9331-EK,10085339102394,229.01,147.27,100,28.00,SINGLE GANG 14.0CU.,,,,,,,
9331-EWK,10085339385117,308.00,198.07,100,30.00,SINGLE GANG 14.0CU.,,,,,,,
9335-16K,10085339412813,664.92,427.61,24,20.40,CEILING 20.5 CU 16 BAR HNGR K KLMP,,,,,,,
9335-BHGK,10085339881039,805.38,517.94,24,31.68,CEILING BOX BR HNGR GRND K KLAMP,,,,,,,
9335-BHK,10085339881015,741.05,476.57,24,31.20,CEILING BOX 20.5 CU BAR HNGR K KLMP,,,,,,,
