Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
7503V,Switch Decorator 3Way 15A 120/277V IV,$3.30,$2.60,Net Price,PE,WG,Residential Decorator Switches,100,10,0,032664627682,,,,,,
7503V-BOX,Switch Decorator 3Way 15A 120/277V IV,$3.30,$2.60,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664752421,,,,,,
7503V-SP-L,Switch Decorator 3Way 15A 120/277V IV,$3.30,$3.14,0.95,PE,WG,Residential Decorator Switches,10,,0,032664627828,,,,,,
7503W,Switch Decorator 3Way 15A 120/277V WH,$3.30,$2.60,Net Price,PE,WG,Residential Decorator Switches,100,10,0,032664627712,4.48,4.24,,4.47ea,22.79/6,
7503W-BOX,Switch Decorator 3Way 15A 120/277V WH,$3.30,$2.60,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664752414,,,,,,
7503W-SP-L2,Switch Decorator 3Way 15A 120/277V WH,$3.30,$3.14,0.95,PE,WG,Residential Decorator Switches,24,,0,032664746987,,,,,,
7504A-BOX,Switch Decorator 4Way 15A 120/277V AL,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664644665,,,,,,
7504B-BOX,Switch Decorator 4Way 15A 120/277V BR,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664644672,,,,,,
7504BK-BOX,Switch Decorator 4Way 15A 120/277V BK,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664644689,,,,,,
7504GY-BOX,Switch Decorator 4Way 15A 120/277V GY,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664644696,,,,,,
7504LA-BOX,Switch Decorator 4Way 15A 120/277V LA,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664750137,,,,,,
7504LA-SP-L,Switch Decorator 4Way 15A 120/277V LA,$13.17,$12.51,0.95,PE,WG,Residential Decorator Switches,4,,0,032664644702,,,,,,
7504RB-BOX,Switch Decorator 4Way 15A 120/277V RB,$18.45,$17.53,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664752896,,,,,,
7504RB-K-L,Switch Decorator 4Way 15A 120/277V RB,$18.45,$17.53,0.95,PE,WG,Residential Decorator Switches,4,,4,032664752766,,,,,,
7504SG-BOX,Switch Decorator 4Way 15A 120/277V SG,$18.45,$17.53,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664752889,,,,,,
7504SG-K-L,Switch Decorator 4Way 15A 120/277V WH,$18.45,$17.53,0.95,PE,WG,Residential Decorator Switches,4,,4,032664752759,,,,,,
7504V-BOX,Switch Decorator 4Way 15A 120/277V IV,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664643828,,,,,,
7504V-SP-L,Switch Decorator 4Way 15A 120/277V IV,$13.17,$12.51,0.95,PE,WG,Residential Decorator Switches,4,,0,032664643934,,,,,,
7504W-BOX,Switch Decorator 4Way 15A 120/277V WH,$13.17,$10.31,Net Price,PE,WG,Residential Decorator Switches,50,10,0,032664643835,15.45,,,13.97,,
7504W-SP-L,Switch Decorator 4Way 15A 120/277V WH,$13.17,$12.51,0.95,PE,WG,Residential Decorator Switches,6,1,0,032664643941,,,,,,
7511A-BOX,Switch Decorator SP LT 15A 120/277V AL,$8.58,$8.15,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664627972,,,,,,
7511LA-BOX,Switch Decorator SP LT 15A 120/277V LA,$8.58,$8.15,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664627989,,,,,,
7511V-BOX,Switch Decorator SP LT 15A 120/277V IV,$8.58,$8.15,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664627996,,,,,,
7511W-BOX,Switch Decorator SP LT 15A 120/277V WH,$8.58,$8.15,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664628009,,,,,,
7513A-BOX,Switch Decorator 3Way LT 15A 120/277V AL,$11.16,$10.60,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664628016,,,,,,
7513LA-BOX,Switch Decorator 3Way LT 15A 120/277V LA,$11.16,$10.60,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664628023,,,,,,
7513V-BOX,Switch Decorator 3Way LT 15A 120/277V IV,$11.16,$10.60,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664628030,,,,,,
7513W-BOX,Switch Decorator 3Way LT 15A 120/277V WH,$11.16,$10.60,0.95,PE,WG,Residential Decorator Switches,50,10,0,032664628047,,,,,,
7521A-BOX,Switch Deco 2Pos SP 15A 120/277V Mom AL,$12.20,$6.71,0.55,PE,WP,Commercial/Industrial Decorator Switches,144,12,0,032664612015,,,,,,
7521LA-BOX,Switch Deco 2Pos SP 15A 120/277V Mom LA,$12.20,$6.71,0.55,PE,WP,Commercial/Industrial Decorator Switches,144,12,0,032664612022,,,,,,
7521W-BOX,Switch Deco 2Pos SP 15A 120/277V Mom WH,$12.20,$6.71,0.55,PE,WP,Commercial/Industrial Decorator Switches,144,12,0,032664612046,,,,,,
7565N,Conn 15/10A125/250V 3P3W H/L AutoGrip BW,$47.70,$23.85,0.50,PE,WY,Locking Device Connectors,50,10,0,040893682471,,,,,,
7567N,Plug 15/10A125/250V 3P3W H/L AutoGrip BW,$30.69,$12.28,0.40,PE,VZ,Locking Device Plugs,50,10,0,040893681504,,,,,,
756B,Blank Insert for Toggle Wallplate BR,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,100,10,0,040893024479,,,,,,
756GY,Blank Insert for Toggle Wallplate GY,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,100,10,0,040893642772,,,,,,
756LA,Blank Insert for Toggle Wallplate LA,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,100,10,0,040893687988,,,,,,
756V,Blank Insert for Toggle Wallplate IV,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,100,10,0,040893617114,,,,,,
756W,Blank Insert for Toggle Wallplate WH,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,100,10,0,032664751660,,,,,,
756W-L,Blank Insert for Toggle Wallplate WH Low,$3.73,$3.54,0.95,PE,XO,2100/5100/PJ Plates,10,,0,040893623719,,,,,,
758B-BOX,Adaptor Med Socket to 2P2W Pol Outlet BK,$2.01,$1.71,0.85,PE,Z5,"Lampholders, Taps, & Adapters",250,25,0,032664274503,,,,,,
758W-BOX,"Eaton lampholder socket adapter, One soc",$2.01,$1.71,0.85,PE,Z5,"Lampholders, Taps, & Adapters",250,25,0,032664707308,,,,,,
7595N,Flngd Inlt Midget 15A125V2P3W H/L Nyl BK,$27.07,$10.83,0.40,PE,YF,"Locking Device Receptacles, Inlets, Outlets",50,10,0,040893030951,,,,,,
7596N,Flngd Out Midget 15A125V 2P3W H/L Nyl BK,$24.71,$9.88,0.40,PE,YF,"Locking Device Receptacles, Inlets, Outlets",50,10,0,040893030968,,,,,,
76-BOX,"Bushing Rubber for .375"" Dia Hole BK",$0.86,$0.82,0.95,PE,U8,Electrical Accessories,1000,50,0,032664205309,,,,,,
7601A-BOX,Switch Deco SP 15A 120/277V AutoGrd AL,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647536,,,,,,
7601AM,SwitchDeco SP15A 120VAutoGrd MOD AL,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664676994,,,,,,
7601B-BOX,Switch Deco SP 15A 120/277V AutoGrd BR,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647024,,,,,,
7601BK-BOX,Switch Deco SP 15A 120/277V AutoGrd BK,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647031,,,,,,
7601BKM,SwitchDeco SP 15A 120V AutoGrd MOD BK,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677007,,,,,,
7601BM,SwitchDeco SP 15A 120V AutoGrd MOD BR,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677014,,,,,,
7601GY-BOX,Switch Deco SP 15A 120/277V AutoGrd GY,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647048,,,,,,
7601GYM,SwitchDeco SP 15A 120V AutoGrd MOD GY,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677021,,,,,,
7601LA-BOX,Switch Deco SP 15A 120/277V AutoGrd LA,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647543,,,,,,
7601LAM,SwitchDeco SP 15A 120V AutoGrd MOD LA,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677038,,,,,,
7601V-BOX,Switch Deco SP 15A 120/277V AutoGrd IV,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647055,,,,,,
7601VM,SwitchDeco SP 15A 120V AutoGrd MOD IV,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677045,,,,,,
7601W-BOX,Switch Deco SP 15A 120/277V AutoGrd WH,$8.05,$4.43,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647062,,,,,,
7601WM,Switch Decorator 1P 15A 120V Autogrd Wh,$13.79,$7.58,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664677052,,,,,,
7603B-BOX,Switch Deco 3Way 15A 120/277V AutoGrd BR,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647093,,,,,,
7603BK-BOX,Switch Deco 3Way 15A 120/277V AutoGrd BK,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647109,,,,,,
7603GY-BOX,Switch Deco 3Way 15A 120/277V AutoGrd GY,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647116,,,,,,
7603LA-BOX,Switch Deco 3Way 15A 120/277V AutoGrd LA,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647567,,,,,,
7603V-BOX,Switch Deco 3Way 15A 120/277V AutoGrd IV,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647123,,,,,,
7603W-BOX,Switch Deco 3Way 15A 120/277V AutoGrd WH,$9.27,$5.10,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647130,,,,,,
7604B-BOX,Switch Deco 4Way 15A 120/277V AutoGrd BR,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647147,,,,,,
7604BK-BOX,Switch Deco 4Way 15A 120/277V AutoGrd BK,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647154,,,,,,
7604GY-BOX,Switch Deco 4Way 15A 120/277V AutoGrd GY,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647161,,,,,,
7604LA-BOX,Switch Deco 4Way 15A 120/277V AutoGrd LA,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,50,032664647581,,,,,,
7604V-BOX,Switch Deco 4Way 15A 120/277V AutoGrd IV,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647178,,,,,,
7604W-BOX,Switch Deco 4Way 15A 120/277V AutoGrd WH,$13.92,$7.66,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647185,,,,,,
7621-347V,Switch Deco SP 20A 347V AutoGrd IV,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,10,,0,032664719462,,,,,,
7621-347W,Switch Deco SP 20A 347V AutoGrd WH,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,10,,0,032664719479,,,,,,
7621A-BOX,Switch Deco SP 20A 120/277V AutoGrd AL,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647598,,,,,,
7621AM,SwitchDecoSP 20A 120V AutoGrd MOD AL,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674549,,,,,,
7621B-BOX,Switch Deco SP 20A 120/277V AutoGrd BR,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647253,,,,,,
7621BK-BOX,Switch Deco SP 20A 120/277V AutoGrd BK,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647260,,,,,,
7621BKM,SwitchDecoSP 20A 120V AutoGrd MOD BK,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674556,,,,,,
7621BM,SwitchDecoSP 20A 120V AutoGrd MOD BR,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674563,,,,,,
7621GY-BOX,Switch Deco SP 20A 120/277V AutoGrd GY,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647277,,,,,,
7621GYM,SwitchDecoSP 20A 120V AutoGrd MOD GY,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674570,,,,,,
7621LA-BOX,Switch Deco SP 20A 120/277V AutoGrd LA,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647604,,,,,,
7621LAM,SwitchDecoSP 20A 120V AutoGrd MOD LA,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674587,,,,,,
7621RD-BOX,Switch Deco SP 20A 120/277V AutoGrd RD,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647284,,,,,,
7621RDM,SwitchDecoSP 20A 120V AutoGrd MOD RD,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674594,,,,,,
7621V-BOX,Switch Deco SP 20A 120/277V AutoGrd IV,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647291,,,,,,
7621VM,SwitchDecoSP 20A 120V AutoGrd MOD IV,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674600,,,,,,
7621W-BOX,Switch Deco SP 20A 120/277V AutoGrd WH,$8.85,$4.87,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647307,,,,,,
7621W-PSOLP,"Switch Deco SP20A W/6""Leads Push-in Conn",$20.56,$11.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,,0,032664729706,,,,,,
7621W-STRXZGBU,"Dec 20A 120/277 WH,Str Ld, NO EAR,SCR,GR",$20.56,$11.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,1,,13,032664760853,,,,,,
7621WM,SwitchDecoSP 20A 120V AutoGrd MOD WH,$14.14,$7.78,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674617,,,,,,
7622A-BOX,Switch Deco DP 20A 120/277V AutoGrd AL,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647611,,,,,,
7622B-BOX,Switch Deco DP 20A 120/277V AutoGrd BR,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647314,,,,,,
7622BK-BOX,Switch Deco DP 20A 120/277V AutoGrd BK,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647628,,,,,,
7622GY-BOX,Switch Deco DP 20A 120/277V AutoGrd GY,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647635,,,,,,
7622LA-BOX,Switch Deco DP 20A 120/277V AutoGrd LA,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647642,,,,,,
7622V-BOX,Switch Deco DP 20A 120/277V AutoGrd IV,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647321,,,,,,
7622W-BOX,Switch Deco DP 20A 120/277V AutoGrd WH,$13.29,$7.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647338,,,,,,
7623A-BOX,Switch Deco 3Way 20A 120/277V AutoGrd AL,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647659,,,,,,
7623B-BOX,Switch Deco 3Way 20A 120/277V AutoGrd BR,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647345,,,,,,
7623BK-BOX,Switch Deco 3Way 20A 120/277V AutoGrd BK,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647352,,,,,,
7623GY-BOX,Switch Deco 3Way 20A 120/277V AutoGrd GY,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647369,,,,,,
7623LA-BOX,Switch Deco 3Way 20A 120/277V AutoGrd LA,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647666,,,,,,
7623RD-BOX,Switch Deco 3Way 20A 120/277V AutoGrd RD,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647376,,,,,,
7623V-BOX,Switch Deco 3Way 20A 120/277V AutoGrd IV,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647383,,,,,,
7623W-BOX,Switch Deco 3Way 20A 120/277V AutoGrd WH,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647390,,,,,,
7623W-PSOLP,"Switch Deco 3W 20A W/6""Leads Push-in Con",$20.45,$11.25,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,,0,032664729713,,,,,,
7624A-BOX,Switch Deco 4Way 20A 120/277V AutoGrd AL,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647673,,,,,,
7624B-BOX,Switch Deco 4Way 20A 120/277V AutoGrd BR,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647406,,,,,,
7624BK-BOX,Switch Deco 4Way 20A 120/277V AutoGrd BK,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647413,,,,,,
7624GY-BOX,Switch Deco 4Way 20A 120/277V AutoGrd GY,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647420,,,,,,
7624LA-BOX,Switch Deco 4Way 20A 120/277V AutoGrd LA,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647680,,,,,,
7624N,Plug 20A 277V 2P3W Str BW,$19.12,$8.80,0.46,PE,W9,C&I Grade P&C,10,1,10,040893020426,,,,,,
7624V-BOX,Switch Deco 4Way 20A 120/277V AutoGrd IV,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647437,,,,,,
7624W-BOX,Switch Deco 4Way 20A 120/277V AutoGrd WH,$15.10,$8.31,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647444,,,,,,
7631A-BOX,W Deco SP LT 20A 120/277V AutoGrd AL,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647697,,,,,,
7631AM,SW Deco SP LT 20A 120V AutoGrd MOD AL,$18.38,$10.11,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674624,,,,,,
7631LA-BOX,SW Deco SP LT 20A 120/277V AutoGrd LA,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647703,,,,,,
7631V-BOX,SW Deco SP LT 20A 120/277V AutoGrd IV,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647710,,,,,,
7631VM,SW Deco SP LT 20A 120V AutoGrd MOD IV,$18.38,$10.11,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674648,,,,,,
7631W-BOX,SW Deco SP LT 20A 120/277V AutoGrd WH,$9.74,$5.36,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647727,,,,,,
7631WM,SW Deco SP LT 20A 120V AutoGrd MOD WH,$18.38,$10.11,0.55,PE,WP,Commercial/Industrial Decorator Switches,20,,0,032664674655,,,,,,
7633LA-BOX,SW Deco 3Way LT 20A 120/277V AutoGrd LA,$11.20,$6.16,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647741,,,,,,
7633V-BOX,SW Deco 3Way LT 20A 120/277V AutoGrd IV,$11.20,$6.16,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647758,,,,,,
7633W-BOX,SW Deco 3Way LT 20A 120/277V AutoGrd WH,$11.20,$6.16,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664647765,,,,,,
7634LA-BOX,SW Deco 4Way LT 20A 120/277V AutoGrd LA,$15.68,$8.62,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664652547,,,,,,
7634V-BOX,SW Deco 4Way LT 20A 120/277V AutoGrd IV,$15.68,$8.62,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664652554,,,,,,
7634W-BOX,SW Deco 4Way LT 20A 120/277V AutoGrd WH,$15.68,$8.62,0.55,PE,WP,Commercial/Industrial Decorator Switches,50,10,0,032664652561,,,,,,
77-BOX,"Bushing Rubber for .50"" Dia Hole BK",$1.12,$1.06,0.95,PE,U8,Electrical Accessories,1000,50,0,032664205408,,,,,,
7716EX,Boot for 50A Pro-Grip Locking Conn YL,$32.55,$26.69,0.82,PE,XC,Locking Accessories,10,,10,032664728341,,,,,,
7717EX,Boot for 50A Pro-Grip Locking Plug YL,$30.67,$25.15,0.82,PE,XC,Locking Accessories,20,10,20,032664728358,,,,,,
7728A-SP,Switch Deco Comb SP/SP 15A 120/277V AL,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,6,,0,032664664748,,,,,,
7728BK-BOX,"SWITCH, DECO COMBO SP/SP, BLACK",$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664750359,,,,,,
7728LA-SP,Switch Deco Comb SP/SP 15A 120/277V LA,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664664755,,,,,,
7728V-BOX,Switch Deco Comb SP/SP 15A 120/277V IV,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664750366,,,,,,
7728V-SP,Switch Deco Comb SP/SP 15A 120/277V IV,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664750380,,,,,,
7728W-BOX,Switch Deco Comb SP/SP 15A 120/277V WH,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664750342,,13.44,,10.98,,
7728W-SP,Switch Deco Comb SP/SP 15A 120/277V WH,$14.00,$8.96,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664664786,,,,,,
7729A-SP,SW Deco Comb 3-SP 15A120/277V ComFeed AL,$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,6,,0,032664664809,,,,,,
7729BK-BOX,"SWITCH, DECO COMB0 3-SP, BLACK",$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664670664,,,,,,
7729LA-SP,"SW Deco Comb 3-SP 15A120/277V,ComFeed LA",$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664750397,,,,,,
7729V-BOX,SW Deco Comb 3-SP 15A120/277V ComFeed IV,$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664750403,,,,,,
7729V-SP,SW Deco Comb 3-SP 15A120/277V ComFeed IV,$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664750427,,,,,,
7729W-BOX,SW Deco Comb 3-SP 15A120/277V ComFeed WH,$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664750410,,,,,,
7729W-SP,SW Deco Comb 3-SP 15A120/277V ComFeed WH,$21.02,$13.45,0.64,PE,WI,SW/RC Combo Devices,10,,0,032664664830,,,,,,
7731A-BOX,SW Deco Comb 3Way/3Way 15A 120/277V AL,$20.98,$13.43,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664878,,,,,,
7731BK-BOX,SW Deco Comb 3Way/3Way 15A 120/277V BK,$20.98,$13.43,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664670725,,,,,,
7731LA-BOX,SW Deco Comb 3Way/3Way 15A 120/277V LA,$20.98,$13.43,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664885,,,,,,
7731V-BOX,SW Deco Comb 3Way/3Way 15A 120/277V IV,$20.98,$13.43,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664892,,,,,,
7731W-BOX,SW Deco Comb 3Way/3Way 15A 120/277V WH,$20.98,$13.43,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664908,,,,,,
7732A-BOX,Switch Deco Comb SP/3Way 15A 120/277V AL,$18.25,$11.68,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664670770,,,,,,
7732BK-BOX,Switch Deco Comb SP/3Way 15A 120/277V BK,$18.25,$11.68,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664670756,,,,,,
7732LA-BOX,Switch Deco Comb SP/3Way 15A 120/277V LA,$18.25,$11.68,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664670787,,,,,,
7732V-BOX,Switch Deco Comb SP/3Way 15A 120/277V IV,$18.25,$11.68,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664915,,,,,,
7732W-BOX,Switch Deco Comb SP/3Way 15A 120/277V WH,$18.25,$11.68,0.64,PE,WI,SW/RC Combo Devices,80,10,0,032664664922,,,,,,
7737A-BOX,Full Hallway Nightlight 120V AL,$12.67,$12.04,0.95,PE,YH,Night Lights,6,,0,032664727733,,,,,,
7737BK-BOX,Full Hallway Nightlight 120V BK,$12.67,$12.04,0.95,PE,YH,Night Lights,6,,0,032664730214,,,,,,
7737LA-BOX,Full Hallway Nightlight 120V LA,$12.67,$12.04,0.95,PE,YH,Night Lights,6,,0,032664727740,,,,,,
7737V-BOX,Full Hallway Nightlight 120V IV,$12.67,$12.04,0.95,PE,YH,Night Lights,6,,0,032664727757,,,,,,
7737V-K,Full Hallway Nightlight 120V IV,$12.67,$12.04,0.95,PE,YH,Night Lights,,4,,032664728235,,,,,,
7737W-BOX,Full Hallway Nightlight 120V WH,$12.67,$12.04,0.95,PE,YH,Night Lights,6,,0,032664727764,,,,,,
7737W-K,Full Hallway Nightlight 120V WH,$12.67,$12.04,0.95,PE,YH,Night Lights,,4,,032664727849,,,,,,
7737W-K-L,Full Hallway Nightlight 120V WH,$12.67,$12.04,0.95,PE,YH,Night Lights,4,,0,032664736247,,,,,,
7738A-BOX,"Switch/Nightlight Combo 15A 120V, AL",$19.00,$18.05,0.95,PE,YH,Night Lights,6,,0,032664727771,,,,,,
7738A-K,"Switch/Nightlight Combo 15A 120V, AL",$19.00,$18.05,0.95,PE,YH,Night Lights,,4,,032664728242,,,,,,
