Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1147B-BOX,Grounding Tap 3 Outlet 15A 125V BR,$4.39,$3.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664302008,,,,,,
1147V-BOX,Grounding Tap 3 Outlet 15A 125V IV,$4.39,$3.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664302107,,,,,,
1147W-BOX,Grounding Tap 3 Outlet 15A 125V WH,$4.39,$3.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664350801,,,,,,
1172LA,Wallplate W/Coax Adaptor Std Thermo LA,$1.20,$0.88,0.73,PE,Z7,Datacomm/Coax Products,15,,0,032664582387,,,,,,
1172V,Wallplate W/Coax Adaptor Std Thermo IV,$1.20,$0.88,0.73,PE,Z7,Datacomm/Coax Products,15,,0,032664546556,,,,,,
1172W,Wallplate W/Coax Adaptor Std Thermo WH,$1.20,$0.88,0.73,PE,Z7,Datacomm/Coax Products,15,,0,032664546570,,,,,,
1176V,Pwer Surge Strip W/CB 7Out 4' 14/3SJT IV,$23.65,$20.10,0.85,PE,Z5,"Lampholders, Taps, & Adapters",6,1,6,032664483202,,,,,,
1192W-SP,Tap 3 Outlet Swivel 15A 125V 2P3W WH,$6.59,$5.60,0.85,PE,Z5,"Lampholders, Taps, & Adapters",10,,0,032664729133,,,,,,
1192W-SP-L2,ADAPTER TRIPLE 15A WH 1192W-SP - 1192W-S,$6.59,$5.60,0.85,PE,Z5,"Lampholders, Taps, & Adapters",10,,0,032664759154,,,,,,
1198-BOX,Socket Btm TK 660W 250V Phen Body BK,$4.79,$4.07,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664304200,,,,,,
1208V,TVSS Recp Duplex 15A 125V SurgeBloc IV,$37.80,$27.59,0.73,PE,Z3,Surge Products,10,,0,032664570865,,,,,,
1208W,TVSS Recp Duplex 15A 125V SurgeBloc WH,$37.80,$27.59,0.73,PE,Z3,Surge Products,10,,0,032664570872,,,,,,
1209A-SP,TVSS SurgeBloc Replacement Module AL,$22.43,$16.37,0.73,PE,Z3,Surge Products,30,,0,032664577383,,,,,,
1209BL,TVSS SurgeBloc Replacement Module BL,$22.43,$16.37,0.73,PE,Z3,Surge Products,30,,0,032664547362,,,,,,
1209GY,TVSS SurgeBloc Replacement Module GY,$22.43,$16.37,0.73,PE,Z3,Surge Products,30,,0,032664547386,,,,,,
1209V,TVSS SurgeBloc Replacement Module IV,$22.43,$16.37,0.73,PE,Z3,Surge Products,30,,0,032664491702,,,,,,
